richness,sampling_effort,mean_fnr,sd_fnr
50,1,0.9903809523809524,0.037607429576209106
50,25,0.8025978073690677,0.05333703807510407
50,50,0.6772171887479884,0.07074927833837037
50,100,0.4808360740530793,0.0851082057060773
50,150,0.3765893430513506,0.0909609511903608
50,200,0.30302956178963014,0.09741147619080737
50,250,0.22727229465980345,0.09280183117649077
50,300,0.18710518081206473,0.08286623530296856
50,350,0.16815094209929643,0.0831241255026276
50,400,0.14637227850817086,0.08128213351321673
50,450,0.11388878507355737,0.07695798617860276
50,500,0.10404943557327241,0.07380049600717795
50,550,0.08128266821045063,0.06309158196168477
50,600,0.0818782064290393,0.06305363418688897
50,650,0.07033776081859261,0.06170221168061594
50,700,0.05470656938779851,0.04604675209723146
50,750,0.054100418959012145,0.05271083491290513
50,800,0.043632831822800845,0.05189730916837315
50,850,0.04335365511927148,0.04995196561304036
50,900,0.03385943002657452,0.04507945493846273
50,950,0.03399383307450748,0.038881763664993164
50,1000,0.030052371586998125,0.03645851861235916
50,1050,0.02166359021688971,0.03235745441232246
50,1100,0.02568851259931753,0.03933439142990824
50,1150,0.024351844875775255,0.0326728382443443
50,1200,0.021006955235562917,0.03094763050653837
50,1250,0.01787397569395394,0.027718007491392777
50,1300,0.015344177818797107,0.03401774600554916
50,1350,0.016832025842178123,0.03050529871728155
50,1400,0.016573041614738496,0.028670672670953502
50,1450,0.016201097267087114,0.02854578028378232
50,1500,0.01498295134081936,0.023809446418631756
100,1,NaN,NaN
100,25,0.8936281121313773,0.03201082750074661
100,50,0.8062296602842512,0.037345985943871125
100,100,0.6695713656599817,0.05041078078788499
100,150,0.5729418714646315,0.057341339517566245
100,200,0.4989701232277513,0.06554664451845288
100,250,0.4268429773859663,0.06881149318963713
100,300,0.3776653314925231,0.06091866792190938
100,350,0.33164850978588006,0.06406845079370194
100,400,0.3048949838014097,0.06796588463149524
100,450,0.2656862854196849,0.06175458951554797
100,500,0.24235198129690383,0.06884852456591914
100,550,0.21621840735565598,0.06313110747337264
100,600,0.19629906313598522,0.06074624288579649
100,650,0.18228342185049062,0.06051895993727455
100,700,0.16224009101088352,0.05864335559985548
100,750,0.1446733839253792,0.05177831421552558
100,800,0.13842643101529645,0.052816939427945235
100,850,0.12616260476358943,0.05258817162707514
100,900,0.11731417671272384,0.05330416209843257
100,950,0.10719336251018782,0.050423396845526464
100,1000,0.10361714110711505,0.05431259963487836
100,1050,0.09146575911077515,0.046269108805127905
100,1100,0.08461178822101073,0.04463419159513128
100,1150,0.07753202795893246,0.04058923606304245
100,1200,0.07706736390291909,0.043612307080266796
100,1250,0.06875390626971266,0.04174696850116808
100,1300,0.07030094628537556,0.040307207278443016
100,1350,0.061845759158477384,0.04010281799348103
100,1400,0.0618507844751285,0.04065544914776031
100,1450,0.055577561053403744,0.035603711666321286
100,1500,0.05182960770252309,0.03798441390119451
250,1,0.996666128929562,0.01081401391806211
250,25,0.9541324604097059,0.009392111081380782
250,50,0.9128536073005898,0.01298281935481231
250,100,0.8404314615025477,0.017309776944200907
250,150,0.7791846450207965,0.02188600111364118
250,200,0.7239809162002889,0.02494311125235434
250,250,0.676966410417042,0.02801920743883219
250,300,0.6342364683593428,0.030847196693722344
250,350,0.5954027214726542,0.03164234700610163
250,400,0.5579477642486351,0.03274502411259726
250,450,0.523025352588617,0.03747842836639482
250,500,0.49729513772075346,0.036708833091437215
250,550,0.4689612612839921,0.040423393310456184
250,600,0.4468272295301729,0.03439321103076204
250,650,0.422235354108266,0.037790629257002314
250,700,0.399945589790165,0.04504001749357762
250,750,0.3829914300933177,0.04203744251986723
250,800,0.3656989156226887,0.042719115929366044
250,850,0.3441613432340935,0.03805417467688442
250,900,0.32659892706760774,0.03663830277657082
250,950,0.3126785314646117,0.04114023548403448
250,1000,0.2972467180751189,0.04278858012669093
250,1050,0.2864489774092551,0.03711532617048563
250,1100,0.2735695086882867,0.041531490421005623
250,1150,0.2657604423356938,0.04207378287515559
250,1200,0.25149501654307643,0.04000447036255253
250,1250,0.2475804053293195,0.03924242056175147
250,1300,0.22739160905406805,0.0408722553187604
250,1350,0.22289092211129144,0.04085896703676964
250,1400,0.21262783211235947,0.039106757372497934
250,1450,0.20791957017145535,0.03937284241284891
250,1500,0.20092167608686126,0.03556764471966162
