index,richness,sampling_effort,mean_fnr
1,5,1,1.0
1,5,25,0.19704761904761903
1,5,50,0.06761904761904762
1,5,100,0.02333333333333333
1,5,150,0.004285714285714285
1,5,200,0.007142857142857142
1,5,250,0.002857142857142857
1,5,300,0.0014285714285714286
1,5,350,0.002857142857142857
1,5,400,0.0014285714285714286
1,5,450,0.005714285714285714
1,5,500,0.0
1,5,550,0.0
1,5,600,0.0
1,5,650,0.0
1,5,700,0.0
1,5,750,0.0
1,5,800,0.0
1,5,850,0.0
1,5,900,0.0
1,5,950,0.0
1,5,1000,0.0
1,5,1050,0.0
1,5,1100,0.0
1,5,1150,0.0
1,5,1200,0.0
1,5,1250,0.0
1,5,1300,0.0
1,5,1350,0.0
1,5,1400,0.0
1,5,1450,0.0
1,5,1500,0.0
2,6,1,1.0
2,6,25,0.2687142857142857
2,6,50,0.10573809523809523
2,6,100,0.033571428571428565
2,6,150,0.020714285714285713
2,6,200,0.010714285714285714
2,6,250,0.007857142857142858
2,6,300,0.011428571428571429
2,6,350,0.0021428571428571425
2,6,400,0.0
2,6,450,0.0
2,6,500,0.0
2,6,550,0.0014285714285714286
2,6,600,0.0021428571428571425
2,6,650,0.0014285714285714286
2,6,700,0.0
2,6,750,0.0
2,6,800,0.0
2,6,850,0.0
2,6,900,0.0
2,6,950,0.0
2,6,1000,0.0
2,6,1050,0.0
2,6,1100,0.0
2,6,1150,0.0
2,6,1200,0.0
2,6,1250,0.0
2,6,1300,0.0
2,6,1350,0.0
2,6,1400,0.0
2,6,1450,0.0
2,6,1500,0.0
3,7,1,1.0
3,7,25,0.3204671717171717
3,7,50,0.11962373737373737
3,7,100,0.03954545454545454
3,7,150,0.023749999999999997
3,7,200,0.01227272727272727
3,7,250,0.01125
3,7,300,0.009166666666666665
3,7,350,0.0016666666666666666
3,7,400,0.005833333333333333
3,7,450,0.0
3,7,500,0.0
3,7,550,0.0
3,7,600,0.0
3,7,650,0.0
3,7,700,0.0
3,7,750,0.0
3,7,800,0.0
3,7,850,0.0
3,7,900,0.0
3,7,950,0.0
3,7,1000,0.0
3,7,1050,0.0
3,7,1100,0.0
3,7,1150,0.0
3,7,1200,0.0
3,7,1250,0.0
3,7,1300,0.0
3,7,1350,0.0
3,7,1400,0.0
3,7,1450,0.0
3,7,1500,0.0
4,7,1,1.0
4,7,25,0.3026309523809524
4,7,50,0.11660714285714285
4,7,100,0.05285714285714285
4,7,150,0.01
4,7,200,0.00625
4,7,250,0.00375
4,7,300,0.005
4,7,350,0.005
4,7,400,0.005
4,7,450,0.00125
4,7,500,0.0025
4,7,550,0.0
4,7,600,0.0
4,7,650,0.0
4,7,700,0.0025
4,7,750,0.00125
4,7,800,0.00125
4,7,850,0.0
4,7,900,0.0
4,7,950,0.0
4,7,1000,0.0
4,7,1050,0.0
4,7,1100,0.00125
4,7,1150,0.0
4,7,1200,0.0
4,7,1250,0.0
4,7,1300,0.00125
4,7,1350,0.0
4,7,1400,0.0
4,7,1450,0.0
4,7,1500,0.0
5,7,1,1.0
5,7,25,0.30791666666666667
5,7,50,0.13889880952380954
5,7,100,0.03696428571428571
5,7,150,0.0225
5,7,200,0.01875
5,7,250,0.006875
5,7,300,0.0075
5,7,350,0.001875
5,7,400,0.00125
5,7,450,0.001875
5,7,500,0.005
5,7,550,0.0
5,7,600,0.00125
5,7,650,0.005
5,7,700,0.0
5,7,750,0.000625
5,7,800,0.0
5,7,850,0.0
5,7,900,0.0
5,7,950,0.0
5,7,1000,0.0
5,7,1050,0.001875
5,7,1100,0.0
5,7,1150,0.0
5,7,1200,0.0
5,7,1250,0.0
5,7,1300,0.0
5,7,1350,0.0
5,7,1400,0.0
5,7,1450,0.0
5,7,1500,0.0
6,8,1,0.9690000000000001
6,8,25,0.3242323093573094
6,8,50,0.14308608058608058
6,8,100,0.06543498168498167
6,8,150,0.025384615384615384
6,8,200,0.020302197802197802
6,8,250,0.013324175824175824
6,8,300,0.005714285714285714
6,8,350,0.003571428571428571
6,8,400,0.005576923076923077
6,8,450,0.004285714285714285
6,8,500,0.0040384615384615385
6,8,550,0.003571428571428571
6,8,600,0.003076923076923077
6,8,650,0.0010714285714285713
6,8,700,0.0007142857142857143
6,8,750,0.0
6,8,800,0.0014285714285714286
6,8,850,0.0
6,8,900,0.0
6,8,950,0.0
6,8,1000,0.0
6,8,1050,0.0
6,8,1100,0.0
6,8,1150,0.0
6,8,1200,0.0014285714285714286
6,8,1250,0.0
6,8,1300,0.0
6,8,1350,0.0010714285714285713
6,8,1400,0.0
6,8,1450,0.0
6,8,1500,0.0
7,8,1,0.9109523809523811
7,8,25,0.30889746976767263
7,8,50,0.13984279126670432
7,8,100,0.05544166666666667
7,8,150,0.027273809523809523
7,8,200,0.0127
7,8,250,0.009541666666666667
7,8,300,0.010975000000000002
7,8,350,0.0032000000000000006
7,8,400,0.003041666666666667
7,8,450,0.0020416666666666665
7,8,500,0.002441666666666667
7,8,550,0.0022
7,8,600,0.0026666666666666666
7,8,650,0.001
7,8,700,0.0014000000000000002
7,8,750,0.0016250000000000001
7,8,800,0.0
7,8,850,0.0
7,8,900,0.0010416666666666667
7,8,950,0.0
7,8,1000,0.0
7,8,1050,0.0
7,8,1100,0.0
7,8,1150,0.0022916666666666667
7,8,1200,0.0
7,8,1250,0.0
7,8,1300,0.0
7,8,1350,0.0014000000000000002
7,8,1400,0.001
7,8,1450,0.0
7,8,1500,0.0
8,8,1,1.0
8,8,25,0.33911399711399715
8,8,50,0.1564419191919192
8,8,100,0.06927272727272726
8,8,150,0.036636363636363634
8,8,200,0.018181818181818184
8,8,250,0.006363636363636364
8,8,300,0.006363636363636364
8,8,350,0.005454545454545454
8,8,400,0.0018181818181818182
8,8,450,0.002727272727272727
8,8,500,0.008181818181818184
8,8,550,0.0009090909090909091
8,8,600,0.0
8,8,650,0.0
8,8,700,0.0018181818181818182
8,8,750,0.004545454545454545
8,8,800,0.0018181818181818182
8,8,850,0.0
8,8,900,0.0
8,8,950,0.0
8,8,1000,0.0
8,8,1050,0.0009090909090909091
8,8,1100,0.0
8,8,1150,0.0018181818181818182
8,8,1200,0.0018181818181818182
8,8,1250,0.0
8,8,1300,0.0
8,8,1350,0.0
8,8,1400,0.0
8,8,1450,0.0
8,8,1500,0.0
9,9,1,1.0
9,9,25,0.3842540266106442
9,9,50,0.19400307780454842
9,9,100,0.07863112745098039
9,9,150,0.03466911764705883
9,9,200,0.0265625
9,9,250,0.02014705882352941
9,9,300,0.010294117647058822
9,9,350,0.007647058823529411
9,9,400,0.002352941176470588
9,9,450,0.003235294117647059
9,9,500,0.009411764705882352
9,9,550,0.003235294117647059
9,9,600,0.0020588235294117644
9,9,650,0.0
9,9,700,0.001176470588235294
9,9,750,0.0
9,9,800,0.0
9,9,850,0.0020588235294117644
9,9,900,0.0
9,9,950,0.0008823529411764706
9,9,1000,0.0
9,9,1050,0.0
9,9,1100,0.0
9,9,1150,0.0
9,9,1200,0.0
9,9,1250,0.0
9,9,1300,0.0
9,9,1350,0.0
9,9,1400,0.0014705882352941176
9,9,1450,0.0
9,9,1500,0.0
10,9,1,1.0
10,9,25,0.39064301236689014
10,9,50,0.1857516708437761
10,9,100,0.07603571428571429
10,9,150,0.04014223057644109
10,9,200,0.025154761904761905
10,9,250,0.008428571428571428
10,9,300,0.010571428571428572
10,9,350,0.01119047619047619
10,9,400,0.006428571428571428
10,9,450,0.006904761904761905
10,9,500,0.005
10,9,550,0.0019047619047619048
10,9,600,0.0014285714285714286
10,9,650,0.0
10,9,700,0.0009523809523809524
10,9,750,0.0009523809523809524
10,9,800,0.0007142857142857143
10,9,850,0.0019047619047619048
10,9,900,0.0
10,9,950,0.0014285714285714286
10,9,1000,0.0
10,9,1050,0.0
10,9,1100,0.0
10,9,1150,0.0007142857142857143
10,9,1200,0.0
10,9,1250,0.0
10,9,1300,0.0
10,9,1350,0.0
10,9,1400,0.0
10,9,1450,0.0
10,9,1500,0.0
11,9,1,1.0
11,9,25,0.3822435897435898
11,9,50,0.19399100899100896
11,9,100,0.07823809523809525
11,9,150,0.040990842490842484
11,9,200,0.02166666666666667
11,9,250,0.011666666666666665
11,9,300,0.004666666666666666
11,9,350,0.007666666666666666
11,9,400,0.010666666666666666
11,9,450,0.004333333333333333
11,9,500,0.004
11,9,550,0.004666666666666667
