i,j
4,1
5,1
8,1
12,1
15,1
17,1
20,1
21,1
29,1
32,1
40,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
23,3
15,4
38,4
34,5
13,6
23,6
36,6
38,6
3,7
5,7
6,7
8,7
10,7
11,7
12,7
15,7
16,7
17,7
18,7
19,7
21,7
13,8
29,8
35,8
38,8
37,9
13,10
31,10
33,10
35,10
37,10
38,10
39,10
15,11
33,11
13,12
31,12
38,12
13,13
15,13
33,13
34,13
36,13
4,14
5,14
6,14
8,14
11,14
12,14
15,14
17,14
18,14
19,14
20,14
21,14
28,14
29,14
30,14
32,14
36,15
36,16
23,17
37,18
20,19
31,19
34,19
11,20
13,20
15,20
19,20
23,20
30,20
32,20
33,20
34,20
35,20
36,20
37,20
38,20
39,20
11,21
19,21
20,21
23,21
37,21
39,21
7,22
17,22
21,22
31,23
35,23
23,24
39,24
5,25
8,25
11,25
12,25
14,25
15,25
19,25
20,25
21,25
24,25
27,25
28,25
30,25
32,25
1,26
3,26
6,26
8,26
9,26
10,26
11,26
12,26
15,26
16,26
18,26
19,26
20,26
21,26
24,26
27,26
40,26
37,27
33,28
35,28
23,29
34,29
38,29
35,30
36,30
31,31
37,31
13,32
15,32
23,32
30,32
31,32
33,32
36,32
13,33
38,33
13,34
39,34
35,35
34,36
39,37
33,38
34,39
38,39
39,39
13,40
39,40
