i,j
17,1
25,1
26,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
17,3
20,3
22,3
23,3
24,3
26,3
29,3
1,4
3,4
7,4
8,4
13,4
14,4
17,4
21,4
31,4
32,4
1,5
6,5
7,5
11,5
12,5
14,5
16,5
17,5
20,5
29,5
31,5
23,6
24,6
25,6
17,7
22,7
26,8
1,9
3,9
7,9
8,9
11,9
12,9
13,9
14,9
17,9
20,9
21,9
27,9
29,9
31,9
17,10
26,10
22,11
23,11
26,11
21,13
23,13
21,14
3,15
17,15
20,15
22,15
23,15
29,15
17,16
22,16
23,16
24,16
25,16
17,17
23,17
5,18
7,18
14,18
15,18
16,18
1,19
3,19
4,19
6,19
10,19
11,19
12,19
14,19
20,19
29,19
30,19
32,19
3,20
25,20
22,21
23,21
23,22
24,22
25,22
17,23
23,23
23,24
24,24
25,25
23,26
17,27
24,27
26,27
1,28
3,28
9,28
13,28
14,28
20,28
27,28
29,28
30,28
17,29
26,29
22,30
23,30
26,30
21,31
22,31
24,31
23,32
