i,j
1,1
13,1
21,1
1,2
13,2
21,2
23,2
1,3
13,3
21,3
3,4
14,4
1,5
5,5
13,5
1,7
3,7
6,7
8,7
13,7
14,7
1,8
13,8
21,8
23,8
3,9
6,9
8,9
10,9
11,9
14,9
17,9
23,9
1,10
13,10
23,10
1,11
13,11
23,11
5,12
10,12
11,12
22,12
23,12
1,13
13,13
1,14
13,14
1,15
3,15
13,15
16,15
21,15
23,15
1,16
23,16
1,17
13,17
23,17
13,18
16,18
21,18
23,18
1,19
3,19
13,19
16,19
21,19
23,19
1,20
13,20
1,21
13,21
13,22
21,22
23,22
1,23
13,23
16,23
21,23
16,24
21,24
23,24
1,25
13,25
1,26
3,26
6,26
8,26
10,26
11,26
13,26
14,26
15,26
16,26
17,26
18,26
19,26
21,26
22,26
23,26
24,26
25,26
