i,j
1,2
5,2
46,3
3,4
8,4
13,4
20,4
22,4
28,4
29,4
31,4
32,4
41,4
1,6
5,6
6,7
15,7
16,7
17,7
18,7
19,7
46,7
8,9
11,9
12,9
13,9
22,9
28,9
31,9
41,9
42,9
43,9
10,11
10,12
30,12
45,12
27,13
47,13
8,14
11,14
12,14
13,14
22,14
28,14
31,14
41,14
42,14
43,14
1,15
5,15
1,16
5,16
1,17
5,17
1,18
5,18
1,19
5,19
6,20
7,20
15,20
16,20
17,20
18,20
19,20
33,20
46,20
3,21
8,21
11,21
12,21
13,21
20,21
22,21
28,21
29,21
31,21
32,21
41,21
42,21
43,21
3,23
8,23
11,23
12,23
13,23
20,23
22,23
28,23
29,23
31,23
32,23
41,23
42,23
43,23
3,24
8,24
13,24
20,24
22,24
28,24
29,24
31,24
32,24
41,24
3,25
8,25
13,25
20,25
22,25
28,25
29,25
31,25
32,25
41,25
8,26
11,26
12,26
13,26
22,26
28,26
31,26
41,26
42,26
43,26
27,28
47,28
10,29
10,31
30,31
10,32
1,33
5,33
1,34
5,34
1,35
5,35
1,36
5,36
1,37
5,37
1,38
5,38
1,39
5,39
10,40
10,41
10,42
2,43
33,43
34,43
35,43
36,43
37,43
38,43
39,43
44,43
