i,j
21,1
1,2
4,2
21,2
24,2
1,3
21,3
24,3
21,4
2,5
4,5
8,5
9,5
2,6
4,6
8,6
9,6
2,7
4,7
8,7
9,7
1,8
3,8
4,8
21,8
24,8
2,9
3,9
4,9
2,10
5,10
6,10
7,10
8,10
18,10
19,10
20,10
2,11
5,11
6,11
7,11
8,11
18,11
19,11
20,11
2,12
5,12
6,12
7,12
8,12
18,12
19,12
20,12
2,13
5,13
6,13
7,13
8,13
9,13
18,13
19,13
20,13
2,14
6,14
7,14
8,14
9,14
2,15
6,15
7,15
8,15
9,15
20,15
2,16
6,16
7,16
8,16
9,16
20,16
2,17
6,17
7,17
8,17
9,17
20,17
2,18
8,18
9,18
20,18
2,19
8,19
9,19
20,19
2,20
8,20
9,20
5,22
6,22
8,22
13,22
17,22
18,22
5,23
6,23
8,23
13,23
17,23
18,23
