i,j
7,1
10,1
12,1
31,1
36,1
40,1
42,1
1,2
6,2
7,2
12,2
20,2
31,2
33,2
48,2
1,3
5,3
6,3
13,3
17,3
30,3
32,3
44,3
1,4
6,4
13,4
17,4
30,4
32,4
38,4
44,4
47,4
43,5
1,6
5,6
33,6
36,6
41,6
42,6
48,6
5,7
9,7
10,7
12,7
19,7
33,7
39,7
40,7
1,8
2,8
5,8
6,8
7,8
12,8
20,8
31,8
33,8
48,8
39,9
43,9
33,10
36,10
40,10
7,11
10,11
14,11
15,11
19,11
20,11
31,11
41,11
40,12
42,12
1,13
10,13
12,13
31,13
36,13
1,14
7,14
12,14
20,14
33,14
48,14
33,15
39,15
40,15
42,15
43,15
1,16
2,16
7,16
8,16
15,16
16,16
19,16
20,16
29,16
31,16
34,16
35,16
41,16
1,17
2,17
6,17
7,17
12,17
15,17
19,17
20,17
31,17
33,17
41,17
45,17
1,18
2,18
6,18
7,18
10,18
12,18
15,18
19,18
20,18
31,18
33,18
41,18
45,18
33,19
40,19
9,20
19,20
40,20
7,21
8,21
15,21
16,21
17,21
18,21
20,21
23,21
29,21
30,21
31,21
34,21
35,21
1,22
2,22
6,22
8,22
15,22
16,22
17,22
18,22
19,22
20,22
23,22
24,22
25,22
26,22
29,22
34,22
35,22
37,22
2,23
8,23
16,23
18,23
23,23
34,23
35,23
2,24
8,24
16,24
18,24
23,24
29,24
34,24
35,24
11,25
25,25
28,25
11,26
25,26
28,26
11,27
12,27
14,27
25,27
28,27
2,28
6,28
41,28
44,28
5,29
6,29
33,29
36,29
40,29
42,29
48,29
33,31
36,31
10,32
31,32
41,32
43,33
12,34
1,35
2,35
6,35
37,35
44,35
48,35
42,36
2,38
37,38
48,38
40,41
15,46
19,46
48,47
