i,j
5,1
21,1
22,1
47,1
1,2
3,2
6,2
7,2
9,2
11,2
13,2
15,2
16,2
19,2
23,2
24,2
30,2
31,2
32,2
33,2
34,2
35,2
5,3
48,3
49,3
50,3
1,4
3,4
6,4
7,4
9,4
11,4
13,4
15,4
16,4
19,4
23,4
24,4
30,4
31,4
32,4
33,4
34,4
35,4
5,5
50,5
5,6
21,6
22,6
47,6
5,7
48,7
49,7
7,8
5,9
21,9
22,9
47,9
1,10
3,10
6,10
7,10
9,10
11,10
13,10
15,10
16,10
19,10
23,10
24,10
30,10
31,10
32,10
33,10
34,10
35,10
48,11
50,11
7,12
11,12
5,13
7,13
21,13
22,13
47,13
1,14
3,14
6,14
7,14
9,14
11,14
13,14
15,14
16,14
19,14
23,14
24,14
30,14
31,14
32,14
33,14
34,14
35,14
5,15
7,15
21,15
22,15
47,15
5,16
7,16
21,16
22,16
47,16
1,17
3,17
6,17
7,17
9,17
11,17
13,17
15,17
16,17
19,17
23,17
24,17
30,17
31,17
32,17
33,17
34,17
35,17
1,18
3,18
6,18
7,18
9,18
11,18
13,18
15,18
16,18
19,18
23,18
24,18
30,18
31,18
32,18
33,18
34,18
35,18
5,19
21,19
22,19
47,19
1,20
7,20
19,20
5,21
21,21
22,21
47,21
48,21
49,21
5,22
21,22
22,22
47,22
48,22
49,22
5,23
21,23
22,23
47,23
5,24
48,24
49,24
3,25
7,25
11,25
24,25
35,25
3,26
7,26
11,26
24,26
35,26
3,27
7,27
11,27
24,27
35,27
3,28
7,28
11,28
24,28
35,28
3,29
5,29
7,29
11,29
24,29
35,29
5,30
21,30
22,30
47,30
5,31
21,31
22,31
47,31
5,32
21,32
22,32
47,32
5,33
21,33
22,33
47,33
5,34
21,34
22,34
47,34
5,35
21,35
22,35
47,35
50,35
3,36
7,36
11,36
35,36
3,37
7,37
11,37
35,37
3,38
7,38
11,38
35,38
7,39
11,39
35,39
7,40
11,40
35,40
7,41
7,42
7,43
7,44
7,45
11,45
7,46
11,46
5,47
47,47
50,47
50,48
50,49
50,50
