i,j
17,1
28,1
29,1
46,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
15,2
16,2
17,2
18,2
20,2
21,2
24,2
26,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
17,3
28,3
29,3
46,3
17,4
28,4
29,4
46,4
17,5
28,5
29,5
46,5
17,6
28,6
29,6
46,6
17,7
28,7
29,7
46,7
17,8
28,8
29,8
46,8
9,10
19,10
22,10
27,10
9,11
19,11
22,11
27,11
9,12
19,12
22,12
27,12
9,13
19,13
22,13
27,13
9,14
19,14
22,14
27,14
9,15
19,15
22,15
27,15
9,16
19,16
22,16
27,16
9,18
19,18
22,18
27,18
9,20
19,20
22,20
27,20
9,21
19,21
22,21
27,21
9,23
19,23
22,23
27,23
9,24
19,24
22,24
27,24
25,26
25,30
25,31
25,32
25,33
25,34
25,35
25,36
25,37
25,38
25,39
25,40
25,41
25,42
25,43
25,44
25,45
