i,j
1,1
7,1
11,1
13,1
14,1
15,1
24,1
28,1
30,1
1,2
2,2
4,2
6,2
8,2
9,2
10,2
14,2
15,2
16,2
17,2
18,2
21,2
22,2
23,2
26,2
28,2
30,2
1,3
4,3
6,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
20,3
21,3
22,3
23,3
24,3
26,3
28,3
1,4
2,4
4,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
14,4
15,4
16,4
17,4
18,4
21,4
22,4
23,4
24,4
26,4
28,4
29,4
30,4
13,5
5,6
6,6
7,6
10,6
12,6
13,6
19,6
24,6
29,6
5,7
8,7
20,7
29,7
30,7
5,8
6,8
7,8
8,8
11,8
12,8
20,8
21,8
29,8
6,9
12,9
13,9
19,9
20,9
24,9
29,9
12,10
20,10
29,10
6,11
7,11
9,11
10,11
11,11
13,11
19,11
28,11
29,11
19,12
13,13
7,14
11,14
12,14
13,14
29,14
30,14
9,15
13,15
23,15
28,15
5,16
6,16
7,16
11,16
13,16
16,16
19,16
20,16
24,16
29,16
6,17
9,17
13,17
14,17
17,17
19,17
1,18
6,18
7,18
9,18
13,18
19,18
24,18
28,18
30,18
5,19
10,19
12,19
20,19
29,19
30,19
19,20
29,20
6,21
12,21
19,21
2,22
5,22
6,22
7,22
9,22
10,22
11,22
12,22
15,22
19,22
20,22
21,22
23,22
24,22
28,22
29,22
8,23
12,23
13,23
20,23
21,23
23,23
29,23
12,24
13,24
4,25
7,25
10,25
11,25
14,25
16,25
17,25
19,25
22,25
23,25
26,25
10,26
24,26
29,26
1,27
2,27
4,27
8,27
10,27
14,27
16,27
17,27
18,27
22,27
23,27
24,27
30,27
6,28
7,28
9,28
13,28
19,28
20,28
21,28
29,28
30,28
6,29
7,29
12,29
20,29
8,30
29,30
