i,j
1,2
3,2
5,2
9,2
3,4
5,6
10,6
13,6
16,6
20,6
21,6
22,6
26,6
38,6
5,7
6,7
10,7
11,7
13,7
16,7
20,7
21,7
22,7
23,7
25,7
26,7
34,7
36,7
37,7
38,7
5,8
10,8
11,8
13,8
16,8
20,8
21,8
22,8
26,8
38,8
10,11
13,11
21,11
22,11
10,12
13,12
6,14
11,14
13,14
16,14
20,14
21,14
22,14
25,14
34,14
37,14
38,14
39,14
5,15
13,15
21,15
26,15
37,15
39,15
11,17
16,17
21,17
22,17
25,17
34,17
16,18
20,18
21,18
22,18
2,19
4,19
5,19
6,19
7,19
8,19
12,19
14,19
16,19
17,19
18,19
22,19
25,19
26,19
27,19
28,19
29,19
30,19
31,19
32,19
33,19
34,19
35,19
36,19
38,19
39,19
5,24
16,24
36,24
37,24
39,24
22,35
