i,j
37,1
38,1
1,2
4,2
5,2
6,2
7,2
9,2
25,2
27,2
28,2
30,2
32,2
33,2
34,2
35,2
1,3
4,3
5,3
6,3
7,3
9,3
25,3
27,3
28,3
30,3
32,3
33,3
34,3
35,3
39,4
42,4
39,5
42,5
42,6
42,7
6,8
7,8
22,8
23,8
39,8
42,8
42,9
9,10
12,10
13,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
9,11
23,11
42,11
15,13
16,13
17,13
18,13
19,13
20,13
21,13
13,14
15,14
16,14
17,14
18,14
19,14
20,14
21,14
36,15
36,16
23,17
29,17
31,17
31,18
30,19
31,19
36,19
41,19
42,19
41,23
24,25
26,25
39,25
42,25
26,27
39,27
42,27
39,28
40,28
39,30
40,30
31,32
36,32
39,32
42,32
36,33
39,33
39,34
39,35
42,35
42,40
9,43
12,43
13,43
15,43
16,43
17,43
18,43
19,43
20,43
21,43
