i,j
6,1
1,2
7,2
8,2
9,2
10,2
1,3
7,3
8,3
9,3
10,3
2,4
3,4
12,4
13,4
15,4
16,4
17,4
1,5
7,5
8,5
6,6
6,7
6,8
1,9
7,9
8,9
9,9
10,9
1,10
7,10
8,10
9,10
10,10
1,11
7,11
8,11
9,11
10,11
1,12
7,12
8,12
9,12
10,12
1,13
7,13
8,13
1,14
7,14
8,14
9,14
10,14
1,15
7,15
8,15
1,16
7,16
8,16
1,17
7,17
8,17
1,18
7,18
8,18
9,18
10,18
1,19
7,19
8,19
9,19
10,19
1,20
7,20
8,20
9,20
10,20
8,21
2,22
3,22
11,22
12,22
13,22
14,22
15,22
16,22
17,22
18,22
19,22
20,22
31,22
11,23
13,23
14,23
15,23
16,23
18,23
19,23
20,23
31,23
2,24
3,24
12,24
13,24
15,24
16,24
17,24
2,25
3,25
12,25
13,25
15,25
16,25
17,25
2,26
3,26
12,26
13,26
15,26
16,26
17,26
2,27
3,27
12,27
13,27
15,27
16,27
17,27
2,28
3,28
12,28
13,28
15,28
16,28
17,28
2,29
3,29
12,29
13,29
15,29
16,29
17,29
2,30
3,30
12,30
13,30
15,30
16,30
17,30
