i,j
1,2
5,2
7,2
19,2
31,2
49,2
52,2
53,2
3,4
5,4
7,4
48,4
3,6
5,6
7,6
52,6
53,6
3,8
7,8
19,8
25,8
29,8
31,8
49,8
54,8
3,9
5,9
7,9
19,9
28,9
29,9
31,9
41,9
55,9
3,10
5,10
7,10
19,10
27,10
29,10
31,10
53,10
54,10
3,11
5,11
7,11
29,11
3,12
5,12
7,12
19,12
49,12
3,13
5,13
7,13
3,14
5,14
7,14
19,14
53,14
1,15
3,15
5,15
7,15
25,15
28,15
33,15
35,15
43,15
45,15
3,16
5,16
7,16
19,16
31,16
41,16
42,16
45,16
49,16
5,17
7,17
3,18
5,18
7,18
19,18
3,20
19,20
28,20
29,20
31,20
33,20
35,20
44,20
49,20
1,22
21,22
28,22
33,22
35,22
41,22
43,22
45,22
46,22
48,22
49,22
51,22
55,22
1,23
35,23
41,23
45,23
49,23
55,23
1,24
21,24
25,24
27,24
28,24
32,24
33,24
35,24
41,24
42,24
43,24
44,24
45,24
46,24
47,24
48,24
49,24
51,24
55,24
3,26
25,26
27,26
28,26
1,30
28,30
35,30
41,30
43,30
45,30
48,30
49,30
55,30
33,34
35,34
41,34
35,36
41,36
55,36
3,37
35,37
41,37
55,37
25,38
28,38
35,38
41,38
45,38
49,38
54,38
55,38
1,39
21,39
35,39
44,39
45,39
49,39
51,39
55,39
27,40
35,40
45,40
55,40
28,50
55,50
55,56
