i,j
1,2
1,3
7,3
9,3
13,3
22,3
23,3
24,3
27,3
1,4
7,4
9,4
13,4
27,4
1,5
7,5
9,5
13,5
22,5
24,5
27,5
1,6
7,6
7,8
9,8
7,9
1,10
7,10
9,10
13,10
22,10
23,10
24,10
27,10
9,11
9,12
22,12
23,13
1,14
3,14
4,14
5,14
10,14
11,14
12,14
13,14
15,14
16,14
21,14
23,14
26,14
28,14
7,15
7,16
2,17
5,17
6,17
8,17
10,17
11,17
12,17
13,17
15,17
16,17
21,17
3,18
4,18
5,18
6,18
8,18
10,18
11,18
12,18
13,18
15,18
21,18
26,18
28,18
3,19
5,19
11,19
12,19
15,19
16,19
21,19
23,19
26,19
16,20
26,20
27,21
3,25
4,25
5,25
6,25
8,25
10,25
11,25
12,25
15,25
16,25
21,25
23,25
26,25
28,25
28,29
