i,j
1,2
3,2
5,2
8,2
10,2
12,2
13,2
22,2
23,2
1,3
8,3
12,3
22,3
3,4
6,4
12,4
13,4
1,5
22,5
6,7
11,7
24,7
25,7
30,7
1,9
3,9
5,9
6,9
8,9
10,9
11,9
12,9
13,9
22,9
23,9
24,9
25,9
30,9
32,9
1,10
6,10
8,10
22,10
6,11
8,11
1,13
12,13
22,13
1,14
3,14
5,14
12,14
13,14
22,14
23,14
1,15
3,15
5,15
10,15
12,15
13,15
22,15
23,15
1,16
3,16
5,16
10,16
12,16
13,16
22,16
23,16
1,17
3,17
5,17
10,17
12,17
13,17
22,17
23,17
1,18
3,18
5,18
10,18
12,18
13,18
22,18
23,18
1,19
3,19
5,19
10,19
12,19
13,19
22,19
23,19
1,20
3,20
5,20
10,20
12,20
13,20
22,20
23,20
1,21
3,21
5,21
10,21
12,21
13,21
23,21
1,22
6,23
22,23
22,24
22,25
3,26
5,26
10,26
13,26
22,26
23,26
1,27
5,27
10,27
13,27
22,27
3,28
10,28
22,28
23,28
1,29
3,29
10,29
13,29
23,29
1,31
3,31
5,31
13,31
23,31
