i,j
15,1
17,1
36,1
56,1
87,1
1,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
16,2
19,2
20,2
21,2
22,2
23,2
24,2
26,2
31,2
33,2
37,2
42,2
44,2
47,2
54,2
58,2
61,2
63,2
68,2
72,2
73,2
81,2
17,3
87,3
3,4
8,4
9,4
10,4
11,4
12,4
13,4
16,4
19,4
20,4
21,4
22,4
24,4
26,4
31,4
33,4
37,4
42,4
44,4
57,4
58,4
61,4
68,4
69,4
71,4
72,4
81,4
3,5
33,5
36,5
38,5
39,5
40,5
41,5
42,5
47,5
66,5
67,5
74,5
75,5
17,6
17,7
17,8
17,9
17,10
17,11
17,12
17,13
36,13
81,13
17,14
14,15
17,15
30,15
53,15
70,15
14,16
17,16
30,16
83,16
53,17
17,18
25,18
29,18
17,19
25,19
28,19
29,19
17,20
25,20
28,20
29,20
17,21
25,21
28,21
29,21
17,22
25,22
28,22
29,22
17,23
25,23
28,23
29,23
17,24
25,24
28,24
29,24
57,24
17,25
28,25
29,25
14,26
17,26
30,26
83,26
14,27
17,27
30,27
65,27
75,27
17,28
30,28
75,28
83,28
60,29
74,29
83,29
84,29
87,29
74,30
39,31
74,31
87,31
29,32
45,32
65,32
75,32
48,33
56,33
75,33
84,33
34,35
70,35
75,35
87,35
45,38
61,38
75,38
84,38
75,40
45,42
43,44
64,44
75,44
87,44
46,47
48,49
75,49
83,49
84,49
87,49
48,50
61,50
64,50
75,50
84,50
48,51
83,51
87,51
52,53
75,53
52,54
52,55
75,55
56,57
56,58
87,58
56,59
60,61
64,61
84,61
54,62
60,62
75,62
83,62
84,62
87,62
60,63
64,63
75,63
83,63
84,63
87,63
87,67
84,68
75,69
83,69
84,69
75,70
84,72
85,75
75,76
75,77
83,77
87,77
75,78
84,78
87,78
75,79
75,80
81,82
83,86
87,88
87,89
8,90
9,90
10,90
11,90
13,90
18,90
19,90
20,90
55,90
59,90
63,90
74,90
75,90
80,90
82,90
91,90
92,90
