i,j
1,2
7,2
10,2
11,2
12,2
14,2
17,2
18,2
23,2
1,3
5,3
7,3
10,3
11,3
12,3
14,3
17,3
18,3
19,3
23,3
1,4
7,4
11,4
12,4
14,4
23,4
20,5
5,6
10,6
11,6
12,6
17,6
18,6
19,6
23,6
20,7
1,8
5,8
7,8
10,8
11,8
12,8
14,8
17,8
18,8
19,8
23,8
1,9
5,9
7,9
10,9
11,9
12,9
14,9
17,9
18,9
19,9
23,9
10,11
20,11
23,11
1,13
5,13
7,13
10,13
11,13
12,13
17,13
18,13
23,13
1,15
5,15
7,15
10,15
11,15
12,15
14,15
17,15
18,15
19,15
23,15
1,16
5,16
7,16
10,16
11,16
12,16
14,16
17,16
18,16
23,16
10,17
20,17
21,17
20,18
20,19
20,21
20,22
20,23
1,24
5,24
7,24
11,24
12,24
14,24
17,24
18,24
19,24
23,24
7,25
1,26
10,26
12,26
23,26
5,27
10,27
11,27
14,27
17,27
18,27
11,28
12,28
18,28
23,28
20,29
20,30
20,31
1,32
5,32
11,32
12,32
14,32
18,32
23,32
5,33
17,34
20,35
20,36
1,37
5,37
7,37
10,37
11,37
12,37
14,37
17,37
18,37
19,37
21,37
23,37
