i,j
26,1
45,1
46,1
59,1
1,2
6,2
8,2
1,3
6,3
8,3
1,4
11,4
1,5
44,5
1,7
6,7
8,7
1,9
6,9
8,9
1,10
6,10
8,10
1,11
6,11
8,11
1,12
6,12
8,12
47,12
1,13
6,13
8,13
9,13
11,13
29,13
33,13
44,13
47,13
53,13
2,14
7,14
22,14
29,14
40,14
2,15
13,15
14,15
16,15
18,15
20,15
21,15
23,15
24,15
27,15
32,15
37,15
38,15
42,15
43,15
47,15
48,15
49,15
50,15
52,15
55,15
56,15
60,15
2,16
7,16
22,16
29,16
40,16
2,17
14,17
16,17
18,17
20,17
21,17
23,17
30,17
37,17
42,17
50,17
7,18
22,18
40,18
10,19
12,19
13,19
14,19
16,19
18,19
20,19
21,19
23,19
27,19
28,19
30,19
31,19
32,19
37,19
42,19
43,19
48,19
49,19
50,19
54,19
58,19
2,21
7,21
22,21
29,21
40,21
1,22
6,22
8,22
7,23
22,23
40,23
3,25
9,25
24,25
30,25
31,25
32,25
36,25
38,25
50,25
56,25
2,27
3,27
7,27
22,27
40,27
1,28
3,28
11,28
1,29
6,29
8,29
1,31
6,31
8,31
1,32
6,32
8,32
1,33
1,34
6,34
8,34
1,35
6,35
8,35
1,36
6,36
8,36
1,37
6,37
8,37
1,38
3,38
6,38
8,38
4,39
9,39
10,39
12,39
13,39
24,39
27,39
28,39
30,39
31,39
32,39
38,39
43,39
49,39
52,39
54,39
55,39
56,39
58,39
60,39
34,41
35,41
2,43
1,47
6,47
8,47
51,52
57,52
51,54
1,55
51,55
57,55
51,58
5,61
28,61
32,61
33,61
34,61
35,61
