i,j
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
3,15
5,15
6,15
7,15
9,15
11,15
13,15
14,15
16,15
21,15
24,15
39,15
56,15
7,17
14,17
16,17
24,17
39,17
52,17
3,18
6,18
7,18
13,18
14,18
16,18
21,18
24,18
54,18
3,19
6,19
7,19
13,19
14,19
16,19
24,19
29,19
54,19
7,20
24,20
62,20
3,22
6,22
7,22
13,22
14,22
16,22
21,22
24,22
54,22
6,23
7,23
12,23
13,23
16,23
36,23
38,23
43,23
55,23
57,23
66,23
6,25
7,25
14,25
24,25
1,26
5,26
7,26
13,26
16,26
24,26
36,26
55,26
56,26
57,26
65,26
3,27
7,27
13,27
24,27
30,27
4,28
7,28
21,28
24,28
50,28
5,31
7,31
9,31
12,31
13,31
30,31
36,31
55,31
4,32
5,32
6,32
7,32
10,32
12,32
13,32
24,32
30,32
3,33
4,33
5,33
6,33
7,33
9,33
11,33
12,33
13,33
14,33
16,33
21,33
24,33
39,33
50,33
56,33
3,34
4,34
6,34
7,34
13,34
14,34
16,34
21,34
24,34
39,34
50,34
65,34
4,35
5,35
6,35
7,35
13,35
16,35
21,35
39,35
1,37
3,37
6,37
7,37
8,37
9,37
11,37
12,37
13,37
21,37
36,37
43,37
55,37
3,40
4,40
5,40
6,40
7,40
9,40
11,40
12,40
13,40
16,40
21,40
24,40
39,40
3,41
4,41
6,41
7,41
12,41
13,41
14,41
16,41
21,41
24,41
39,41
58,41
7,42
13,42
16,42
7,44
14,44
16,44
24,44
39,44
52,44
7,45
24,45
62,45
7,46
9,46
21,46
24,46
54,46
65,46
7,47
13,47
16,47
36,47
55,47
57,47
36,48
3,49
7,49
30,49
62,49
5,51
7,51
6,53
8,53
10,53
12,53
13,53
5,59
5,60
6,61
8,61
10,61
12,61
13,61
7,63
9,64
