i,j
27,1
1,2
3,2
4,2
5,2
6,2
7,2
11,2
17,2
18,2
26,2
28,2
29,2
30,2
33,2
36,2
37,2
38,2
42,2
45,2
50,2
53,2
54,2
55,2
56,2
57,2
58,2
64,2
65,2
89,2
27,3
27,4
27,5
27,6
8,9
39,9
44,9
49,9
51,9
8,10
39,10
44,10
49,10
51,10
8,11
39,11
44,11
49,11
51,11
8,12
39,12
44,12
49,12
51,12
13,14
34,14
35,14
2,16
9,16
10,16
12,16
14,16
15,16
19,16
20,16
22,16
23,16
24,16
25,16
40,16
46,16
47,16
48,16
52,16
60,16
61,16
62,16
63,16
66,16
67,16
68,16
73,16
2,21
20,21
22,21
59,21
60,21
71,21
8,23
39,23
44,23
49,23
51,23
8,24
39,24
44,24
49,24
51,24
8,25
39,25
44,25
49,25
51,25
27,28
27,29
31,32
31,33
43,33
31,34
31,35
31,36
41,36
31,37
41,37
31,38
41,38
8,40
39,40
44,40
49,40
51,40
13,45
13,46
32,46
13,47
49,48
72,48
49,50
51,50
51,52
74,66
31,69
69,70
49,73
72,73
75,76
77,76
78,76
79,76
80,76
81,76
82,76
83,76
84,76
85,76
86,76
87,76
88,76
90,76
