i,j
3,1
5,1
7,1
11,1
20,1
22,1
23,1
71,1
1,2
3,2
5,2
6,2
7,2
11,2
22,2
23,2
31,2
33,2
36,2
37,2
38,2
39,2
42,2
43,2
44,2
45,2
46,2
48,2
49,2
60,2
72,2
1,3
20,3
37,3
38,3
1,4
3,4
7,4
11,4
17,4
18,4
20,4
23,4
35,4
38,4
71,4
1,5
3,5
5,5
7,5
11,5
20,5
37,5
38,5
47,5
1,6
3,6
6,6
12,6
21,6
38,6
59,6
1,7
5,7
20,7
37,7
38,7
47,7
1,8
3,8
5,8
6,8
7,8
11,8
22,8
23,8
31,8
33,8
37,8
38,8
39,8
42,8
43,8
44,8
45,8
46,8
48,8
60,8
72,8
1,9
3,9
6,9
7,9
11,9
13,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
31,9
33,9
35,9
41,9
42,9
43,9
44,9
59,9
72,9
1,10
3,10
6,10
7,10
10,10
11,10
21,10
22,10
23,10
38,10
41,10
42,10
43,10
46,10
57,10
58,10
59,10
62,10
1,11
5,11
7,11
11,11
20,11
37,11
38,11
47,11
1,12
3,12
5,12
11,12
12,12
17,12
18,12
20,12
22,12
23,12
34,12
36,12
37,12
38,12
39,12
47,12
62,12
1,13
3,13
7,13
11,13
18,13
23,13
35,13
38,13
71,13
1,14
3,14
7,14
11,14
12,14
21,14
22,14
23,14
31,14
34,14
37,14
38,14
42,14
43,14
44,14
45,14
46,14
1,15
3,15
5,15
7,15
11,15
20,15
22,15
23,15
37,15
38,15
59,15
71,15
75,15
1,16
3,16
7,16
11,16
17,16
18,16
20,16
23,16
35,16
38,16
71,16
1,17
3,17
5,17
7,17
11,17
17,17
18,17
23,17
30,17
47,17
71,17
1,18
3,18
5,18
7,18
11,18
18,18
20,18
23,18
38,18
47,18
71,18
1,19
7,19
11,19
17,19
18,19
20,19
23,19
30,19
35,19
38,19
71,19
1,20
3,20
5,20
7,20
11,20
20,20
23,20
38,20
71,20
1,21
3,21
5,21
7,21
11,21
12,21
17,21
18,21
20,21
21,21
22,21
23,21
30,21
34,21
36,21
38,21
39,21
47,21
62,21
1,22
20,22
34,22
37,22
38,22
47,22
1,23
5,23
20,23
37,23
38,23
47,23
1,24
3,24
5,24
7,24
11,24
18,24
20,24
22,24
