i,j
1,2
3,2
4,2
5,2
6,2
8,2
9,2
11,2
13,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
3,4
11,4
3,5
11,5
3,6
3,7
9,10
11,10
16,10
29,10
30,10
33,10
1,12
5,12
11,12
13,12
19,12
27,12
28,12
29,12
31,12
32,12
33,12
34,12
35,12
1,14
4,14
5,14
6,14
13,14
15,14
16,14
17,14
18,14
19,14
23,14
24,14
25,14
26,14
27,14
28,14
29,14
30,14
31,14
33,14
34,14
35,14
1,36
3,36
4,36
5,36
6,36
8,36
9,36
11,36
13,36
15,36
16,36
17,36
18,36
19,36
20,36
21,36
22,36
23,36
24,36
25,36
26,36
27,36
28,36
29,36
30,36
31,36
32,36
33,36
34,36
35,36
1,37
3,37
4,37
5,37
6,37
8,37
9,37
11,37
13,37
15,37
16,37
17,37
18,37
19,37
20,37
21,37
22,37
23,37
24,37
25,37
26,37
27,37
28,37
29,37
30,37
31,37
32,37
33,37
34,37
35,37
3,38
4,39
6,39
8,39
9,39
13,39
15,39
30,39
32,39
