i,j
3,1
21,1
68,1
1,2
4,2
5,2
9,2
10,2
22,2
25,2
69,2
3,4
34,4
70,5
1,6
4,6
5,6
7,6
9,6
10,6
11,6
12,6
13,6
15,6
16,6
18,6
19,6
20,6
21,6
22,6
24,6
25,6
26,6
27,6
28,6
30,6
31,6
33,6
35,6
36,6
37,6
69,6
70,7
1,8
3,8
4,8
5,8
7,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
70,10
70,11
68,12
70,12
70,15
7,16
17,16
70,16
70,17
68,18
3,19
34,19
68,19
34,20
70,20
3,22
17,22
68,22
70,22
70,25
70,26
70,29
68,33
70,33
70,34
70,35
1,40
5,40
9,40
10,40
22,40
24,40
25,40
26,40
5,41
9,41
10,41
16,41
19,41
22,41
25,41
4,42
5,42
7,42
9,42
10,42
20,42
22,42
24,42
25,42
30,42
33,42
35,42
69,42
5,43
9,43
10,43
11,43
22,43
25,43
26,43
69,43
1,44
5,44
7,44
9,44
10,44
19,44
20,44
22,44
24,44
25,44
69,44
4,45
5,45
9,45
22,45
24,45
25,45
69,45
5,46
9,46
22,46
24,46
25,46
69,46
9,47
10,48
19,48
29,48
1,49
4,49
5,49
7,49
9,49
10,49
11,49
15,49
19,49
22,49
23,49
25,49
26,49
29,49
31,49
33,49
39,49
69,49
11,50
4,51
5,51
22,51
5,52
22,52
24,52
69,52
5,53
22,53
25,54
69,54
26,55
9,56
9,57
9,58
10,58
25,58
29,58
69,58
10,59
69,59
10,60
10,61
5,62
22,62
26,62
5,63
22,63
25,64
15,65
17,66
70,66
28,67
70,68
70,71
70,72
