i,j
1,2
5,2
9,2
12,2
1,3
5,3
9,3
12,3
1,4
2,4
5,4
6,4
9,4
10,4
12,4
13,4
17,4
1,6
5,6
9,6
12,6
1,7
5,7
9,7
12,7
1,8
2,8
5,8
6,8
9,8
10,8
12,8
13,8
17,8
1,10
5,10
9,10
12,10
1,11
2,11
5,11
6,11
9,11
10,11
12,11
13,11
17,11
1,13
5,13
9,13
12,13
1,14
5,14
9,14
12,14
1,15
5,15
9,15
12,15
1,16
2,16
5,16
6,16
9,16
10,16
12,16
13,16
17,16
1,18
2,18
5,18
6,18
9,18
10,18
12,18
13,18
17,18
1,19
5,19
9,19
12,19
1,20
5,20
9,20
12,20
1,21
2,21
5,21
6,21
9,21
10,21
12,21
13,21
17,21
1,22
3,22
4,22
5,22
7,22
8,22
9,22
11,22
12,22
14,22
15,22
16,22
18,22
19,22
20,22
21,22
23,22
24,22
25,22
26,22
27,22
28,22
29,22
30,22
31,22
32,22
33,22
