i,j
14,1
16,1
20,1
22,1
23,1
24,1
26,1
27,1
28,1
29,1
30,1
31,1
33,1
35,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
14,3
20,3
21,3
23,3
25,3
26,3
27,3
28,3
29,3
32,3
33,3
35,3
14,4
20,4
21,4
23,4
24,4
25,4
26,4
27,4
28,4
33,4
35,4
20,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
31,5
32,5
33,5
35,5
22,6
23,6
24,6
25,6
26,6
27,6
28,6
30,6
31,6
32,6
35,6
20,7
21,7
23,7
25,7
26,7
27,7
28,7
31,7
32,7
33,7
35,7
20,8
21,8
23,8
25,8
26,8
27,8
28,8
31,8
32,8
33,8
35,8
20,9
21,9
23,9
25,9
26,9
27,9
28,9
31,9
32,9
33,9
35,9
20,10
21,10
23,10
25,10
26,10
27,10
28,10
31,10
32,10
33,10
35,10
20,11
21,11
23,11
25,11
26,11
27,11
28,11
31,11
32,11
33,11
34,11
35,11
20,12
21,12
23,12
25,12
26,12
27,12
28,12
31,12
32,12
33,12
34,12
35,12
20,13
21,13
23,13
25,13
26,13
27,13
28,13
31,13
32,13
33,13
35,13
20,14
21,14
25,14
27,14
32,14
34,14
7,15
14,15
21,15
22,15
23,15
24,15
25,15
26,15
27,15
28,15
29,15
30,15
31,15
32,15
34,15
35,15
7,16
14,16
21,16
22,16
23,16
24,16
25,16
26,16
27,16
28,16
29,16
31,16
32,16
34,16
35,16
7,17
14,17
20,17
21,17
22,17
23,17
24,17
25,17
26,17
27,17
28,17
29,17
31,17
32,17
33,17
34,17
35,17
7,18
14,18
20,18
21,18
22,18
23,18
24,18
25,18
26,18
27,18
28,18
29,18
30,18
31,18
32,18
34,18
35,18
7,19
14,19
20,19
21,19
22,19
23,19
24,19
25,19
26,19
27,19
28,19
29,19
30,19
31,19
32,19
34,19
35,19
20,20
21,20
23,20
26,20
27,20
32,20
33,20
35,20
21,21
20,22
21,22
22,22
23,22
26,22
27,22
28,22
31,22
32,22
33,22
35,22
20,23
21,23
23,23
26,23
27,23
32,23
33,23
35,23
7,24
20,24
21,24
22,24
23,24
25,24
26,24
27,24
28,24
29,24
31,24
32,24
34,24
35,24
27,25
35,25
20,26
21,26
23,26
26,26
27,26
32,26
33,26
35,26
21,27
27,27
20,28
21,28
22,28
23,28
26,28
27,28
28,28
32,28
34,28
35,28
20,30
23,30
24,30
25,30
26,30
27,30
28,30
30,30
31,30
32,30
33,30
35,30
20,31
21,31
25,31
27,31
32,31
33,31
34,31
20,32
21,32
23,32
26,32
27,32
32,32
33,32
35,32
20,33
21,33
23,33
26,33
27,33
32,33
33,33
35,33
20,34
21,34
23,34
26,34
27,34
32,34
33,34
35,34
21,35
27,35
