i,j
7,1
9,1
11,1
12,1
13,1
14,1
16,1
17,1
18,1
22,1
1,2
3,2
4,2
5,2
6,2
8,2
10,2
7,3
9,3
11,3
12,3
13,3
14,3
16,3
17,3
18,3
22,3
7,4
9,4
11,4
12,4
13,4
14,4
16,4
17,4
18,4
22,4
16,5
17,5
18,5
21,5
22,5
16,6
17,6
18,6
21,6
22,6
16,7
17,7
18,7
19,7
22,7
7,8
9,8
11,8
12,8
13,8
14,8
16,8
17,8
18,8
22,8
16,9
17,9
18,9
19,9
22,9
7,10
9,10
11,10
12,10
13,10
14,10
16,10
17,10
18,10
22,10
19,11
19,12
19,13
19,14
1,15
3,15
4,15
5,15
6,15
8,15
10,15
21,16
23,16
16,17
21,17
23,17
16,18
17,18
21,18
23,18
21,19
22,19
16,20
17,20
18,20
19,20
21,20
23,21
1,24
3,24
4,24
5,24
6,24
8,24
10,24
20,24
