i,j
31,1
1,2
16,2
31,2
10,3
27,3
31,3
1,4
3,4
5,4
6,4
16,4
10,5
27,5
31,5
10,6
27,6
31,6
1,7
16,7
31,7
3,8
5,8
6,8
9,8
32,8
22,9
31,9
33,10
10,11
15,11
25,11
27,11
29,11
30,11
34,11
2,12
7,12
11,12
14,12
17,12
18,12
19,12
20,12
21,12
29,12
30,12
2,13
7,13
11,13
14,13
17,13
18,13
19,13
20,13
21,13
29,13
30,13
10,14
15,14
25,14
27,14
29,14
30,14
34,14
10,15
25,15
27,15
31,16
1,17
16,17
22,17
26,17
31,17
1,18
16,18
22,18
26,18
31,18
1,19
16,19
31,19
1,20
16,20
31,20
1,21
16,21
26,22
31,22
23,24
31,24
10,26
27,26
33,27
10,28
27,28
31,28
10,29
27,29
33,29
10,30
27,30
33,30
34,31
31,32
24,35
28,35
