i,j
1,2
16,2
23,2
31,2
46,2
3,4
5,4
6,4
7,4
8,4
15,4
18,4
20,4
23,4
25,4
28,4
29,4
31,4
33,4
35,4
60,4
1,10
3,10
5,10
6,10
7,10
8,10
9,10
15,10
16,10
17,10
18,10
19,10
20,10
33,10
36,10
38,10
60,10
11,12
13,12
14,12
15,12
1,21
5,21
7,21
8,21
11,21
16,21
17,21
18,21
20,21
28,21
29,21
30,21
5,22
7,22
23,24
25,26
18,27
11,32
13,32
25,32
29,32
31,32
33,32
1,34
3,34
5,34
14,34
15,34
16,34
17,34
19,34
20,34
23,34
30,34
31,34
33,34
35,34
36,34
1,37
3,37
6,37
8,37
16,37
17,37
19,37
23,37
28,37
35,37
38,37
39,37
1,40
3,40
5,40
7,40
15,40
16,40
18,40
20,40
23,40
31,40
33,40
35,40
3,41
5,41
6,41
7,41
9,41
16,41
17,41
25,41
36,41
38,41
42,41
7,43
8,43
19,43
29,43
30,43
33,43
7,44
16,44
17,44
19,44
20,44
23,44
29,44
31,44
35,44
1,45
3,45
5,45
6,45
8,45
17,45
18,45
25,45
46,45
3,47
9,47
11,47
14,47
15,47
16,47
17,47
30,47
31,47
1,48
3,48
5,48
15,48
16,48
17,48
19,48
25,48
30,48
42,48
46,48
1,49
7,49
8,49
15,49
17,49
18,49
23,49
28,49
29,49
35,49
39,49
3,50
13,50
15,50
17,50
18,50
19,50
23,50
29,50
31,50
35,50
7,51
17,51
18,51
19,51
23,51
28,51
31,51
33,51
35,51
8,52
14,52
15,52
17,52
18,52
20,52
23,52
29,52
1,53
23,53
35,54
15,55
13,56
8,57
15,57
16,57
20,57
30,57
31,57
31,58
19,59
1,61
3,61
5,61
7,61
8,61
11,61
13,61
15,61
16,61
18,61
23,61
25,61
28,61
35,61
36,61
39,61
3,62
5,62
6,62
7,62
11,62
15,62
16,62
17,62
19,62
20,62
23,62
30,62
33,62
36,62
38,62
63,62
1,64
3,64
5,64
15,64
16,64
17,64
19,64
33,64
