i,j
1,2
3,2
4,2
6,2
10,2
15,2
115,2
4,5
7,8
9,8
11,8
12,8
9,14
13,14
15,14
16,14
3,17
18,17
4,20
19,20
21,20
22,20
23,24
25,24
26,24
27,24
28,29
23,30
25,30
26,30
23,31
23,32
4,33
6,33
11,33
13,33
15,33
19,33
21,33
25,33
27,33
34,33
35,33
36,33
37,33
38,33
39,33
40,33
41,33
42,33
43,33
44,33
45,33
46,33
47,33
48,33
49,33
50,33
51,33
52,33
53,33
54,33
55,33
56,33
57,33
58,33
59,33
60,33
61,33
62,33
63,33
64,33
65,33
4,66
39,66
47,66
63,66
67,66
49,68
16,70
23,70
69,70
71,70
1,73
26,73
37,73
72,73
74,73
9,75
19,75
23,75
26,75
46,75
76,75
77,75
78,75
4,79
13,79
25,79
46,79
50,79
55,79
58,79
61,79
4,80
4,81
4,82
77,83
7,85
10,85
12,85
15,85
35,85
39,85
47,85
49,85
60,85
78,85
84,85
86,85
3,88
4,88
6,88
15,88
18,88
19,88
21,88
22,88
23,88
39,88
40,88
43,88
46,88
47,88
50,88
51,88
53,88
54,88
55,88
61,88
63,88
71,88
87,88
89,88
90,88
91,88
92,88
93,88
94,88
95,88
96,88
97,88
98,88
23,99
16,100
59,102
60,102
101,102
4,104
9,104
22,104
23,104
25,104
27,104
42,104
44,104
50,104
64,104
65,104
91,104
103,104
105,104
106,104
107,104
108,104
109,104
110,104
111,104
112,104
113,104
7,114
36,114
50,114
74,114
