i,j
1,2
9,2
12,2
36,2
38,2
40,2
42,2
46,2
3,4
5,6
8,6
16,6
25,6
33,6
42,6
43,6
45,6
50,6
53,6
1,7
5,7
8,7
9,7
32,7
5,11
10,11
24,11
26,11
31,11
32,11
33,11
40,11
42,11
43,11
48,11
51,11
1,14
5,14
8,14
10,14
13,14
15,14
19,14
21,14
22,14
24,14
25,14
28,14
31,14
37,14
40,14
42,14
43,14
45,14
46,14
54,14
8,17
12,17
19,17
42,17
45,17
49,17
8,18
31,18
19,20
40,20
42,20
43,20
52,20
22,23
27,23
40,23
42,23
5,30
21,30
29,30
40,30
42,30
45,30
34,35
40,35
45,35
9,39
40,39
43,39
5,41
40,41
42,41
45,41
8,44
43,44
47,44
