i,j
1,2
10,2
11,2
13,2
16,2
17,2
18,2
19,2
25,2
27,2
29,2
32,2
34,2
36,2
37,2
40,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
3,4
13,4
18,4
19,4
22,4
23,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
5,6
7,6
13,6
19,6
3,8
9,8
10,8
3,12
10,12
11,12
13,12
13,15
14,15
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
24,15
25,15
26,15
27,15
28,15
29,15
30,15
18,31
19,31
32,31
19,91
26,91
3,92
10,92
13,92
19,92
22,92
26,92
27,92
41,92
62,92
64,92
75,92
76,92
90,92
93,92
94,92
95,92
96,92
97,92
98,92
99,92
100,92
1,102
3,102
10,102
13,102
19,102
22,102
26,102
27,102
28,102
36,102
41,102
45,102
46,102
54,102
67,102
74,102
86,102
97,102
101,102
103,102
104,102
105,102
106,102
107,102
108,102
109,102
110,111
13,113
24,113
25,113
26,113
112,113
114,113
