i,j
1,2
3,2
5,2
7,2
10,2
14,2
16,2
18,2
20,2
22,2
25,2
27,2
28,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
1,4
3,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
3,15
5,15
6,15
7,15
8,15
10,15
14,15
16,15
17,15
18,15
19,15
25,15
26,15
27,15
1,21
3,21
5,21
6,21
7,21
8,21
9,21
14,21
16,21
17,21
18,21
20,21
22,21
23,21
24,21
25,21
26,21
27,21
28,21
29,21
30,21
31,21
56,21
57,21
14,40
25,40
37,40
39,40
41,40
5,42
6,42
10,42
11,42
43,42
8,45
9,45
11,45
14,45
25,45
44,45
46,45
9,47
17,47
3,48
9,48
17,48
9,49
23,49
44,49
3,50
8,50
9,50
14,50
17,50
38,50
46,50
1,51
3,51
5,51
6,51
7,51
8,51
10,51
11,51
12,51
13,51
14,51
16,51
17,51
18,51
19,51
20,51
22,51
25,51
26,51
27,51
28,51
30,51
31,51
33,51
38,51
43,51
46,51
52,51
53,51
54,51
1,55
7,55
10,55
11,55
12,55
14,55
27,55
28,55
31,55
33,55
