i,j
1,2
17,2
28,2
39,2
50,2
64,2
75,2
81,2
83,2
89,2
92,2
94,2
101,2
107,2
135,2
136,2
144,2
233,2
236,2
251,2
281,2
324,2
339,2
340,2
1,3
28,3
78,3
94,3
104,3
118,3
132,3
152,3
204,3
287,3
323,3
1,4
89,4
101,4
125,4
129,4
133,4
147,4
148,4
186,4
295,4
1,5
17,5
28,5
59,5
108,5
111,5
113,5
116,5
143,5
145,5
201,5
249,5
1,6
64,6
93,6
123,6
177,6
217,6
1,7
28,7
66,7
93,7
100,7
145,7
1,8
17,8
39,8
50,8
84,8
109,8
118,8
248,8
283,8
1,9
64,9
93,9
178,9
252,9
254,9
1,10
17,10
96,10
111,10
125,10
213,10
245,10
1,11
66,11
109,11
121,11
1,12
39,12
66,12
1,13
71,13
1,14
1,15
1,16
17,18
85,18
92,18
113,18
114,18
115,18
129,18
137,18
146,18
165,18
179,18
182,18
195,18
199,18
210,18
250,18
302,18
338,18
347,18
353,18
356,18
17,19
39,19
50,19
84,19
90,19
92,19
100,19
104,19
107,19
122,19
135,19
136,19
232,19
346,19
17,20
28,20
39,20
66,20
71,20
96,20
100,20
225,20
17,21
81,21
85,21
114,21
115,21
116,21
253,21
277,21
284,21
289,21
343,21
17,22
43,22
54,22
108,22
120,22
139,22
234,22
293,22
307,22
17,23
39,23
43,23
50,23
75,23
90,23
150,23
194,23
237,23
17,24
39,24
54,24
75,24
90,24
92,24
140,24
266,24
269,24
309,24
17,25
59,25
90,25
108,25
114,25
158,25
163,25
202,25
17,26
59,26
64,26
261,26
272,26
17,27
54,27
90,27
28,29
59,29
94,29
149,29
151,29
157,29
207,29
223,29
258,29
268,29
337,29
28,30
39,30
50,30
93,30
107,30
133,30
147,30
175,30
231,30
255,30
274,30
28,31
71,31
93,31
206,31
290,31
291,31
348,31
28,32
39,32
43,32
107,32
160,32
243,32
28,33
39,33
50,33
121,33
169,33
28,34
83,34
100,34
120,34
28,35
64,35
296,35
28,36
64,36
89,36
28,37
54,37
84,37
28,38
93,38
39,40
71,40
240,40
288,40
39,41
39,42
43,44
50,44
104,44
107,44
122,44
187,44
43,45
64,45
78,45
131,45
148,45
265,45
43,46
132,46
224,46
43,47
54,47
84,47
92,47
43,48
54,48
43,49
50,51
75,51
81,51
100,51
124,51
139,51
149,51
172,51
221,51
257,51
326,51
50,52
92,52
150,52
208,52
50,53
235,53
244,53
54,55
84,55
94,55
256,55
54,56
90,56
54,57
92,57
54,58
192,58
59,60
78,60
83,60
93,60
94,60
98,60
101,60
108,60
109,60
120,60
121,60
123,60
130,60
144,60
153,60
159,60
161,60
164,60
166,60
189,60
216,60
246,60
267,60
273,60
282,60
341,60
59,61
181,61
230,61
59,62
262,62
59,63
64,65
83,65
66,67
71,67
66,68
142,68
66,69
66,70
71,72
111,72
113,72
115,72
138,72
146,72
151,72
162,72
176,72
180,72
183,72
198,72
203,72
220,72
270,72
276,72
280,72
285,72
300,72
304,72
308,72
311,72
312,72
313,72
314,72
316,72
319,72
320,72
325,72
327,72
332,72
333,72
334,72
335,72
342,72
344,72
71,73
81,73
114,73
190,73
191,73
271,73
336,73
71,74
81,74
75,76
83,76
89,76
96,76
188,76
75,77
78,79
131,79
239,79
78,80
81,82
85,86
96,86
98,86
124,86
138,86
184,86
185,86
209,86
286,86
294,86
303,86
305,86
318,86
345,86
85,87
98,87
115,87
134,87
228,87
328,87
329,87
85,88
134,88
205,88
317,88
330,88
90,91
94,95
197,95
219,95
322,95
96,97
98,99
211,99
212,99
222,99
238,99
101,102
193,102
227,102
101,103
142,103
226,103
104,105
118,105
130,105
152,105
196,105
247,105
275,105
104,106
355,106
109,110
111,112
113,112
116,112
143,112
331,112
116,117
118,119
218,119
229,119
126,127
126,128
140,141
153,154
155,156
167,168
170,171
173,174
200,174
315,174
214,215
241,242
259,260
263,264
278,279
292,279
297,279
298,279
299,279
301,279
306,279
310,279
321,279
349,279
350,279
351,279
352,279
354,279
357,279
358,279
