i,j
1,2
5,2
18,2
22,2
23,2
27,2
1,4
3,4
5,4
19,4
20,4
22,4
23,4
24,4
26,4
27,4
28,4
36,4
1,6
3,6
5,6
18,6
19,6
20,6
22,6
23,6
24,6
25,6
26,6
27,6
33,6
35,6
1,7
3,7
5,7
18,7
19,7
20,7
22,7
23,7
24,7
26,7
27,7
28,7
29,7
30,7
35,7
1,8
3,8
5,8
18,8
19,8
20,8
22,8
24,8
25,8
26,8
27,8
33,8
1,9
5,9
19,9
22,9
23,9
26,9
28,9
33,9
1,10
3,10
5,10
18,10
19,10
22,10
23,10
26,10
28,10
36,10
1,11
3,11
5,11
19,11
22,11
26,11
27,11
28,11
30,11
1,12
5,12
18,12
20,12
24,12
27,12
1,13
5,13
18,13
33,13
1,14
5,14
23,14
26,14
30,14
5,15
19,15
22,15
27,15
1,16
19,16
22,16
23,16
24,16
27,16
29,16
30,16
1,17
19,17
22,17
23,17
26,17
27,17
28,17
1,21
20,21
24,21
26,21
31,21
32,21
34,21
