dataset,βwn,βos
kolpelke_et_al_2017,1.3333333333333333,1.0
kolpelke_et_al_2017,1.5,1.0
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,1.6,1.0
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,1.5555555555555556,1.0
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,1.7142857142857142,1.0
kolpelke_et_al_2017,1.8095238095238095,1.2
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,1.5,1.0
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,1.5,1.0
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,1.6,1.0
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,1.9090909090909092,1.3333333333333333
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,2.0
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,1.7142857142857142,1.3333333333333333
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,1.935483870967742,1.3333333333333333
kolpelke_et_al_2017,1.7333333333333334,1.0
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
kolpelke_et_al_2017,2.0,NaN
