network_number,mangal_taxon_name,mangal_species_name,mangal_node_id,CONSENSUS_NAME,DROP
56,,cartosyrphus_sp_02,46558,,TRUE
56,,cartosyrphus_sp_02,46640,,TRUE
56,,cartosyrphus_sp_02,46574,,TRUE
63,,cryptopogon_sp_01,46836,,TRUE
70,,cryptopogon_sp_01,47120,,TRUE
40,,halictidae_green_spp_1,44500,,TRUE
56,,osmia_sp_sgo,46614,,TRUE
63,,osmia_sp_sgo,46934,,TRUE
63,,osmia_sp_sgo,47004,,TRUE
66,,osmia_sp_sgo,49384,,TRUE
73,,osmia_sp_sgo,49602,,TRUE
73,,osmia_sp_sgo,49710,,TRUE
62,,rhamphomyia_sp_01,46072,,TRUE
69,,rhamphomyia_sp_01,46112,,TRUE
69,,rhamphomyia_sp_01,46108,,TRUE
69,,rhamphomyia_sp_01,46110,,TRUE
69,,rhamphomyia_sp_01,46150,,TRUE
75,,rhamphomyia_sp_01,46304,,TRUE
78,,rhamphomyia_sp_01,49014,,TRUE
84,,rhamphomyia_sp_01,49148,,TRUE
84,,rhamphomyia_sp_01,49064,,TRUE
6,,scathophagidae_sp_01,41744,,TRUE
7,,scathophagidae_sp_01,41790,,TRUE
56,,scathophagidae_sp_01,46804,,TRUE
59,,scathophagidae_sp_01,49268,,TRUE
69,,scathophagidae_sp_01,46114,,TRUE
81,,scathophagidae_sp_01,46328,,TRUE
81,,scathophagidae_sp_01,46492,,TRUE
81,,scathophagidae_sp_01,46490,,TRUE
2,,sphecodes_sp_01,41454,,TRUE
2,,sphecodes_sp_01,41526,,TRUE
3,,sphecodes_sp_01,41548,,TRUE
14,,sphecodes_sp_01,42204,,TRUE
14,,sphecodes_sp_01,42260,,TRUE
15,,sphecodes_sp_01,42304,,TRUE
16,,sphecodes_sp_01,42308,,TRUE
26,,sphecodes_sp_01,42968,,TRUE
27,,sphecodes_sp_01,43058,,TRUE
42,,sphecodes_sp_01,44544,,TRUE
42,,sphecodes_sp_01,44602,,TRUE
56,,sphecodes_sp_01,46810,,TRUE
66,,sphecodes_sp_01,49390,,TRUE
73,,sphecodes_sp_01,49620,,TRUE
75,,sphecodes_sp_01,46306,,TRUE
81,,sphecodes_sp_01,46332,,TRUE
84,,sphecodes_sp_01,49152,,TRUE
84,,sphecodes_sp_01,49068,,TRUE
84,,sphecodes_sp_01,49154,,TRUE
85,,sphecodes_sp_01,50072,,TRUE
85,,sphecodes_sp_01,50070,,TRUE
6,,tachinidae_sp_01,41740,,TRUE
7,,tachinidae_sp_01,41774,,TRUE
9,,tachinidae_sp_01,41850,,TRUE
33,,tachinidae_sp_01,43554,,TRUE
38,,tachinidae_sp_01,44348,,TRUE
38,,tachinidae_sp_01,44350,,TRUE
38,,tachinidae_sp_01,44346,,TRUE
39,,tachinidae_sp_01,44474,,TRUE
39,,tachinidae_sp_01,44418,,TRUE
39,,tachinidae_sp_01,44478,,TRUE
39,,tachinidae_sp_01,44476,,TRUE
52,,tachinidae_sp_01,45678,,TRUE
53,,tachinidae_sp_01,45878,,TRUE
54,,tachinidae_sp_01,45966,,TRUE
54,,tachinidae_sp_01,45920,,TRUE
63,,tachinidae_sp_01,46884,,TRUE
63,,tachinidae_sp_01,47024,,TRUE
64,,tachinidae_sp_01,48012,,TRUE
64,,tachinidae_sp_01,48104,,TRUE
62,,tephritidae_01,46074,,TRUE
69,,tephritidae_01,46152,,TRUE
69,,tephritidae_01,46154,,TRUE
69,,tephritidae_01,46156,,TRUE
33,Achillea millefolium,achillea_millefolium,43419,Achillea millefolium,FALSE
39,Achillea millefolium,achillea_millefolium,44371,Achillea millefolium,FALSE
39,Achillea millefolium,achillea_millefolium,44369,Achillea millefolium,FALSE
57,Achillea millefolium,achillea_millefolium,47649,Achillea millefolium,FALSE
57,Achillea millefolium,achillea_millefolium,47653,Achillea millefolium,FALSE
57,Achillea millefolium,achillea_millefolium,47651,Achillea millefolium,FALSE
60,Achillea millefolium,achillea_millefolium,50119,Achillea millefolium,FALSE
60,Achillea millefolium,achillea_millefolium,50117,Achillea millefolium,FALSE
61,Achillea millefolium,achillea_millefolium,51347,Achillea millefolium,FALSE
61,Achillea millefolium,achillea_millefolium,51345,Achillea millefolium,FALSE
61,Achillea millefolium,achillea_millefolium,51349,Achillea millefolium,FALSE
64,Achillea millefolium,achillea_millefolium,47935,Achillea millefolium,FALSE
64,Achillea millefolium,achillea_millefolium,47943,Achillea millefolium,FALSE
64,Achillea millefolium,achillea_millefolium,47941,Achillea millefolium,FALSE
64,Achillea millefolium,achillea_millefolium,47939,Achillea millefolium,FALSE
64,Achillea millefolium,achillea_millefolium,47937,Achillea millefolium,FALSE
67,Achillea millefolium,achillea_millefolium,50337,Achillea millefolium,FALSE
67,Achillea millefolium,achillea_millefolium,50339,Achillea millefolium,FALSE
67,Achillea millefolium,achillea_millefolium,50341,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48215,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48225,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48209,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48219,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48229,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48211,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48221,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48231,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48213,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48223,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48207,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48217,Achillea millefolium,FALSE
71,Achillea millefolium,achillea_millefolium,48227,Achillea millefolium,FALSE
74,Achillea millefolium,achillea_millefolium,50649,Achillea millefolium,FALSE
74,Achillea millefolium,achillea_millefolium,50651,Achillea millefolium,FALSE
74,Achillea millefolium,achillea_millefolium,50645,Achillea millefolium,FALSE
