network_number,mangal_taxon_name,mangal_species_name,mangal_node_id,CONSENSUS_NAME,DROP
10,Ablabesmyia,Ablabesmyia sp. (Chironomidae - Diptera),14163,Ablabesmyia,FALSE
11,Ablabesmyia,Ablabesmyia sp. (Chironomidae - Diptera),14213,Ablabesmyia,FALSE
12,Ablabesmyia,Ablabesmyia sp. (Chironomidae - Diptera),14264,Ablabesmyia,FALSE
7,Acruroperla atra,Acruroperla atra (Pisces - Austroperlidae),14071,Acruroperla atra,FALSE
8,Acruroperla atra,Acruroperla atra (Pisces - Austroperlidae),14102,Acruroperla atra,FALSE
9,Acruroperla atra,Acruroperla atra (Pisces - Austroperlidae),14131,Acruroperla atra,FALSE
10,Acruroperla atra,Acruroperla atra (Pisces - Austroperlidae),14172,Acruroperla atra,FALSE
11,Acruroperla atra,Acruroperla atra (Pisces - Austroperlidae),14222,Acruroperla atra,FALSE
12,Acruroperla atra,Acruroperla atra (Pisces - Austroperlidae),14273,Acruroperla atra,FALSE
8,Afrochiltonia australis,Afrochiltonia australis (Crustacea - Amphipoda),14106,Afrochiltonia australis,FALSE
9,Afrochiltonia australis,Afrochiltonia australis (Crustacea - Amphipoda),14134,Afrochiltonia australis,FALSE
10,Afrochiltonia australis,Afrochiltonia australis (Crustacea - Amphipoda),14178,Afrochiltonia australis,FALSE
11,Afrochiltonia australis,Afrochiltonia australis (Crustacea - Amphipoda),14229,Afrochiltonia australis,FALSE
12,Afrochiltonia australis,Afrochiltonia australis (Crustacea - Amphipoda),14279,Afrochiltonia australis,FALSE
4,,Agapetus kimminsii (Trichoptera - Glossomatidae),13983,Agapetus kimminsii,FALSE
6,,Agapetus kimminsii (Trichoptera - Glossomatidae),14035,Agapetus kimminsii,FALSE
7,,Agapetus kimminsii (Trichoptera - Glossomatidae),14066,Agapetus kimminsii,FALSE
8,,Agapetus kimminsii (Trichoptera - Glossomatidae),14097,Agapetus kimminsii,FALSE
9,,Agapetus kimminsii (Trichoptera - Glossomatidae),14128,Agapetus kimminsii,FALSE
1,Archanara algae,Algae spp.,13926,Archanara algae,FALSE
2,Archanara algae,Algae spp.,13946,Archanara algae,FALSE
3,Archanara algae,Algae spp.,13969,Archanara algae,FALSE
4,Archanara algae,Algae spp.,13993,Archanara algae,FALSE
5,Archanara algae,Algae spp.,14018,Archanara algae,FALSE
6,Archanara algae,Algae spp.,14046,Archanara algae,FALSE
7,Archanara algae,Algae spp.,14081,Archanara algae,FALSE
8,Archanara algae,Algae spp.,14112,Archanara algae,FALSE
9,Archanara algae,Algae spp.,14140,Archanara algae,FALSE
10,Archanara algae,Algae spp.,14186,Archanara algae,FALSE
11,Archanara algae,Algae spp.,14237,Archanara algae,FALSE
12,Archanara algae,Algae spp.,14287,Archanara algae,FALSE
1,,Amorphous detritus,13921,,TRUE
2,,Amorphous detritus,13941,,TRUE
3,,Amorphous detritus,13964,,TRUE
4,,Amorphous detritus,13991,,TRUE
5,,Amorphous detritus,14016,,TRUE
6,,Amorphous detritus,14044,,TRUE
7,,Amorphous detritus,14076,,TRUE
8,,Amorphous detritus,14107,,TRUE
9,,Amorphous detritus,14135,,TRUE
10,,Amorphous detritus,14181,,TRUE
11,,Amorphous detritus,14232,,TRUE
12,,Amorphous detritus,14282,,TRUE
1,,Angrobia sp. (Mollusca - Gastropoda),13910,Angrobia,FALSE
2,,Angrobia sp. (Mollusca - Gastropoda),13930,Angrobia,FALSE
3,,Angrobia sp. (Mollusca - Gastropoda),13951,Angrobia,FALSE
