network_number,mangal_taxon_name,mangal_species_name,mangal_node_id,CONSENSUS_NAME,DROP
2,Allactaga elater,Allactaga elater,11691,Allactaga elater,FALSE
14,Allactaga elater,Allactaga elater,12729,Allactaga elater,FALSE
15,Allactaga elater,Allactaga elater,12778,Allactaga elater,FALSE
17,Allactaga elater,Allactaga elater,12838,Allactaga elater,FALSE
26,Allactaga elater,Allactaga elater,12221,Allactaga elater,FALSE
30,Allactaga elater,Allactaga elater,11551,Allactaga elater,FALSE
40,Allactaga elater,Allactaga elater,12284,Allactaga elater,FALSE
48,Allactaga elater,Allactaga elater,12992,Allactaga elater,FALSE
50,Allactaga elater,Allactaga elater,11796,Allactaga elater,FALSE
2,Allactaga major,Allactaga major,11703,Allactaga major,FALSE
6,Allactaga major,Allactaga major,12060,Allactaga major,FALSE
17,Allactaga major,Allactaga major,12836,Allactaga major,FALSE
25,Allactaga major,Allactaga major,11436,Allactaga major,FALSE
26,Allactaga major,Allactaga major,12232,Allactaga major,FALSE
37,Allactaga major,Allactaga major,13154,Allactaga major,FALSE
38,Allactaga major,Allactaga major,12423,Allactaga major,FALSE
40,Allactaga major,Allactaga major,12287,Allactaga major,FALSE
50,Allactaga major,Allactaga major,11797,Allactaga major,FALSE
2,Allactaga severtzovi,Allactaga severtzovi,11701,Allactaga severtzovi,FALSE
26,Allactaga severtzovi,Allactaga severtzovi,12231,Allactaga severtzovi,FALSE
48,Allactaga severtzovi,Allactaga severtzovi,12994,Allactaga severtzovi,FALSE
2,Allactaga sibirica,Allactaga sibirica,11698,Allactaga sibirica,FALSE
3,Allactaga sibirica,Allactaga sibirica,12104,Allactaga sibirica,FALSE
7,Allactaga sibirica,Allactaga sibirica,12133,Allactaga sibirica,FALSE
36,Allactaga sibirica,Allactaga sibirica,13051,Allactaga sibirica,FALSE
38,Allactaga sibirica,Allactaga sibirica,12429,Allactaga sibirica,FALSE
7,Allocricetulus curtatus,Allocricetulus curtatus,12129,Allocricetulus curtatus,FALSE
6,Allocricetulus eversmanni,Allocricetulus eversmanni,12051,Allocricetulus eversmanni,FALSE
17,Allocricetulus eversmanni,Allocricetulus eversmanni,12821,Allocricetulus eversmanni,FALSE
19,Allocricetulus eversmanni,Allocricetulus eversmanni,13086,Allocricetulus eversmanni,FALSE
25,Allocricetulus eversmanni,Allocricetulus eversmanni,11435,Allocricetulus eversmanni,FALSE
37,Allocricetulus eversmanni,Allocricetulus eversmanni,13142,Allocricetulus eversmanni,FALSE
38,Allocricetulus eversmanni,Allocricetulus eversmanni,12417,Allocricetulus eversmanni,FALSE
50,Allocricetulus eversmanni,Allocricetulus eversmanni,11801,Allocricetulus eversmanni,FALSE
