network_number,mangal_taxon_name,mangal_species_name,mangal_node_id,CONSENSUS_NAME,DROP
1,Acantholeberis curvirostris,Acantholeberis curvirostris,18545,Acantholeberis curvirostris,FALSE
13,Acantholeberis curvirostris,Acantholeberis curvirostris,16787,Acantholeberis curvirostris,FALSE
38,Acantholeberis curvirostris,Acantholeberis curvirostris,17377,Acantholeberis curvirostris,FALSE
17,Acroperus harpae,Acroperus harpae,17465,Acroperus harpae,FALSE
1,Aglaodiaptomus leptopus,D. leptomus,18540,Aglaodiaptomus leptopus,FALSE
12,Aglaodiaptomus leptopus,D. leptomus,18141,Aglaodiaptomus leptopus,FALSE
18,Aglaodiaptomus leptopus,D. leptomus,17490,Aglaodiaptomus leptopus,FALSE
19,Aglaodiaptomus leptopus,D. leptomus,18438,Aglaodiaptomus leptopus,FALSE
28,Aglaodiaptomus leptopus,D. leptomus,17842,Aglaodiaptomus leptopus,FALSE
30,Aglaodiaptomus leptopus,D. leptomus,17421,Aglaodiaptomus leptopus,FALSE
31,Aglaodiaptomus leptopus,D. leptomus,17981,Aglaodiaptomus leptopus,FALSE
43,Aglaodiaptomus leptopus,D. leptomus,17115,Aglaodiaptomus leptopus,FALSE
34,Alona affinis,A. affinis,18110,Alona affinis,FALSE
46,Alona affinis,A. affinis,17193,Alona affinis,FALSE
49,Alona affinis,A. affinis,16730,Alona affinis,FALSE
8,Alona costata,Alona costata,17001,Alona costata,FALSE
25,Alona costata,Alona costata,18294,Alona costata,FALSE
42,Alona costata,Alona costata,17896,Alona costata,FALSE
5,Alona quadrangularis,A. quadrangularis,16832,Alona quadrangularis,FALSE
10,Alona quadrangularis,A. quadrangularis,18215,Alona quadrangularis,FALSE
33,Ambloplites rupestris,Amploblites rupestris,17223,Ambloplites rupestris,FALSE
3,Ameiurus nebulosus,Ictalurus nebulosus,16879,Ameiurus nebulosus,FALSE
6,Ameiurus nebulosus,Ictalurus nebulosus,17509,Ameiurus nebulosus,FALSE
7,Ameiurus nebulosus,Ictalurus nebulosus,17550,Ameiurus nebulosus,FALSE
8,Ameiurus nebulosus,Ictalurus nebulosus,16991,Ameiurus nebulosus,FALSE
9,Ameiurus nebulosus,Ictalurus nebulosus,18167,Ameiurus nebulosus,FALSE
14,Ameiurus nebulosus,Ictalurus nebulosus,18340,Ameiurus nebulosus,FALSE
15,Ameiurus nebulosus,Ictalurus nebulosus,18381,Ameiurus nebulosus,FALSE
16,Ameiurus nebulosus,Ictalurus nebulosus,16935,Ameiurus nebulosus,FALSE
20,Ameiurus nebulosus,Ictalurus nebulosus,18047,Ameiurus nebulosus,FALSE
22,Ameiurus nebulosus,Ictalurus nebulosus,17154,Ameiurus nebulosus,FALSE
23,Ameiurus nebulosus,Ictalurus nebulosus,18599,Ameiurus nebulosus,FALSE
33,Ameiurus nebulosus,Ictalurus nebulosus,17229,Ameiurus nebulosus,FALSE
34,Ameiurus nebulosus,Ictalurus nebulosus,18099,Ameiurus nebulosus,FALSE
35,Ameiurus nebulosus,Ictalurus nebulosus,18564,Ameiurus nebulosus,FALSE
37,Ameiurus nebulosus,Ictalurus nebulosus,17655,Ameiurus nebulosus,FALSE
39,Ameiurus nebulosus,Ictalurus nebulosus,17940,Ameiurus nebulosus,FALSE
40,Ameiurus nebulosus,Ictalurus nebulosus,17026,Ameiurus nebulosus,FALSE
41,Ameiurus nebulosus,Ictalurus nebulosus,17341,Ameiurus nebulosus,FALSE
42,Ameiurus nebulosus,Ictalurus nebulosus,17881,Ameiurus nebulosus,FALSE
43,Ameiurus nebulosus,Ictalurus nebulosus,17110,Ameiurus nebulosus,FALSE
