network_number,mangal_taxon_name,mangal_species_name,mangal_node_id,CONSENSUS_NAME,DROP
1,Acarida,Acarid sp.,26251,Acarida,FALSE
2,Acarida,Acarid sp.,26289,Acarida,FALSE
9,Acarida,Acarid sp.,26379,Acarida,FALSE
10,Acarida,Acarid sp.,26403,Acarida,FALSE
2,Agathis,Agathis sp.,26296,Agathis,FALSE
10,Agathis,Agathis sp.,26406,Agathis,FALSE
1,Arthrocnodax,Arthrocnodax sp.,26264,Arthrocnodax,FALSE
2,Arthrocnodax,Arthrocnodax sp.,26301,Arthrocnodax,FALSE
9,Arthrocnodax,Arthrocnodax sp.,26384,Arthrocnodax,FALSE
10,Arthrocnodax,Arthrocnodax sp.,26411,Arthrocnodax,FALSE
1,Asphondylia,Asphondylia sp. G (oval bud/flower gall maker),26245,Asphondylia,FALSE
1,Asphondylia,Asphondylia sp. F (oval twig maker),26241,Asphondylia,FALSE
1,Asphondylia,Asphondylia sp. E (tumor stem maker),26240,Asphondylia,FALSE
1,Asphondylia,Asphondylia sp. H (fuzzy bud/flower gall maker),26246,Asphondylia,FALSE
1,Asphondylia,Asphondylia sp. D (blister leaf and nipple bud gall maker),26248,Asphondylia,FALSE
2,Asphondylia,Asphondylia sp. B (nodular stem gallmaker),26277,Asphondylia,FALSE
2,Asphondylia,Asphondylia sp. C (woody stem maker),26278,Asphondylia,FALSE
2,Asphondylia,Asphondylia sp. A (club stem maker),26283,Asphondylia,FALSE
3,Asphondylia,Asphondylia sp. D,26311,Asphondylia,FALSE
4,Asphondylia,Asphondylia sp. A,26322,Asphondylia,FALSE
5,Asphondylia,Asphondylia sp. H,26329,Asphondylia,FALSE
6,Asphondylia,Asphondylia sp. B,26343,Asphondylia,FALSE
7,Asphondylia,Asphondylia sp. G,26351,Asphondylia,FALSE
8,Asphondylia,Asphondylia sp. F,26367,Asphondylia,FALSE
9,Asphondylia,Asphondylia sp. E,26377,Asphondylia,FALSE
10,Asphondylia,Asphondylia sp. C,26398,Asphondylia,FALSE
1,Atriplex canescens,gall tissue (Atriplex canescens),26247,Atriplex canescens,FALSE
3,Atriplex canescens,gall tissue (Atriplex canescens),26310,Atriplex canescens,FALSE
5,Atriplex canescens,gall tissue (Atriplex canescens),26330,Atriplex canescens,FALSE
