network_number,mangal_taxon_name,mangal_species_name,mangal_node_id,CONSENSUS_NAME,DROP
7,Adelognathus,Adelognathus sp.,35854,Adelognathus,FALSE
8,Adelognathus,Adelognathus sp.,35705,Adelognathus,FALSE
9,Adelognathus,Adelognathus sp.,35866,Adelognathus,FALSE
10,Adelognathus,Adelognathus sp.,35863,Adelognathus,FALSE
26,Adelognathus,Adelognathus sp.,35871,Adelognathus,FALSE
34,Adelognathus,Adelognathus sp.,35697,Adelognathus,FALSE
58,Adelognathus,Adelognathus sp.,35774,Adelognathus,FALSE
83,Adelognathus,Adelognathus sp.,35747,Adelognathus,FALSE
94,Adelognathus,Adelognathus sp.,35816,Adelognathus,FALSE
15,Anaprostocetus acuminatus,Anaprostocetus acuminatus,35514,Anaprostocetus acuminatus,FALSE
50,Anaprostocetus acuminatus,Anaprostocetus acuminatus,35556,Anaprostocetus acuminatus,FALSE
51,Anaprostocetus acuminatus,Anaprostocetus acuminatus,35822,Anaprostocetus acuminatus,FALSE
52,Anaprostocetus acuminatus,Anaprostocetus acuminatus,36071,Anaprostocetus acuminatus,FALSE
57,Anaprostocetus acuminatus,Anaprostocetus acuminatus,33986,Anaprostocetus acuminatus,FALSE
66,Anaprostocetus acuminatus,Anaprostocetus acuminatus,35565,Anaprostocetus acuminatus,FALSE
68,Anaprostocetus acuminatus,Anaprostocetus acuminatus,36091,Anaprostocetus acuminatus,FALSE
71,Anaprostocetus acuminatus,Anaprostocetus acuminatus,35587,Anaprostocetus acuminatus,FALSE
72,Anaprostocetus acuminatus,Anaprostocetus acuminatus,36068,Anaprostocetus acuminatus,FALSE
92,Anaprostocetus acuminatus,Anaprostocetus acuminatus,35526,Anaprostocetus acuminatus,FALSE
95,Anaprostocetus acuminatus,Anaprostocetus acuminatus,35839,Anaprostocetus acuminatus,FALSE
29,Aptesis nigrocincta,Aptesis nigrocincta,38527,Aptesis nigrocincta,FALSE
30,Aptesis nigrocincta,Aptesis nigrocincta,38539,Aptesis nigrocincta,FALSE
53,Aptesis nigrocincta,Aptesis nigrocincta,38516,Aptesis nigrocincta,FALSE
73,Aptesis nigrocincta,Aptesis nigrocincta,38454,Aptesis nigrocincta,FALSE
90,Aptesis nigrocincta,Aptesis nigrocincta,38391,Aptesis nigrocincta,FALSE
5,Archarius crux,Curculio crux,37084,Archarius crux,FALSE
15,Archarius crux,Curculio crux,35512,Archarius crux,FALSE
30,Archarius crux,Curculio crux,38534,Archarius crux,FALSE
36,Archarius crux,Curculio crux,36990,Archarius crux,FALSE
46,Archarius crux,Curculio crux,38431,Archarius crux,FALSE
50,Archarius crux,Curculio crux,35552,Archarius crux,FALSE
