network_number,mangal_taxon_name,mangal_species_name,mangal_node_id,CONSENSUS_NAME,DROP
2,Achillea millefolium,Achillea millefolium,20690,Achillea millefolium,FALSE
5,Achillea millefolium,Achillea millefolium,21601,Achillea millefolium,FALSE
7,Achillea millefolium,Achillea millefolium,21798,Achillea millefolium,FALSE
53,Achillea millefolium,Achillea millefolium,20568,Achillea millefolium,FALSE
67,Achillea millefolium,Achillea millefolium,20193,Achillea millefolium,FALSE
71,Achillea millefolium,Achillea millefolium,20620,Achillea millefolium,FALSE
74,Achillea millefolium,Achillea millefolium,21632,Achillea millefolium,FALSE
88,Achillea millefolium,Achillea millefolium,20170,Achillea millefolium,FALSE
91,Achillea millefolium,Achillea millefolium,20647,Achillea millefolium,FALSE
14,Agapostemon texanus,Agapostemon texanus,19961,Agapostemon texanus,FALSE
50,Agapostemon texanus,Agapostemon texanus,22156,Agapostemon texanus,FALSE
58,Agapostemon texanus,Agapostemon texanus,20907,Agapostemon texanus,FALSE
66,Agapostemon texanus,Agapostemon texanus,19821,Agapostemon texanus,FALSE
94,Agapostemon texanus,Agapostemon texanus,19708,Agapostemon texanus,FALSE
4,Allograpta exotica,Allograpta exotica,21998,Allograpta exotica,FALSE
6,Allograpta exotica,Allograpta exotica,22087,Allograpta exotica,FALSE
7,Allograpta exotica,Allograpta exotica,21833,Allograpta exotica,FALSE
8,Allograpta exotica,Allograpta exotica,21140,Allograpta exotica,FALSE
9,Allograpta exotica,Allograpta exotica,22138,Allograpta exotica,FALSE
13,Allograpta exotica,Allograpta exotica,22117,Allograpta exotica,FALSE
28,Allograpta exotica,Allograpta exotica,21024,Allograpta exotica,FALSE
30,Allograpta exotica,Allograpta exotica,21403,Allograpta exotica,FALSE
33,Allograpta exotica,Allograpta exotica,21932,Allograpta exotica,FALSE
34,Allograpta exotica,Allograpta exotica,22572,Allograpta exotica,FALSE
35,Allograpta exotica,Allograpta exotica,22047,Allograpta exotica,FALSE
37,Allograpta exotica,Allograpta exotica,21048,Allograpta exotica,FALSE
44,Allograpta exotica,Allograpta exotica,21171,Allograpta exotica,FALSE
45,Allograpta exotica,Allograpta exotica,22393,Allograpta exotica,FALSE
50,Allograpta exotica,Allograpta exotica,22160,Allograpta exotica,FALSE
54,Allograpta exotica,Allograpta exotica,21862,Allograpta exotica,FALSE
55,Allograpta exotica,Allograpta exotica,22838,Allograpta exotica,FALSE
56,Allograpta exotica,Allograpta exotica,23110,Allograpta exotica,FALSE
58,Allograpta exotica,Allograpta exotica,20920,Allograpta exotica,FALSE
61,Allograpta exotica,Allograpta exotica,20374,Allograpta exotica,FALSE
62,Allograpta exotica,Allograpta exotica,22868,Allograpta exotica,FALSE
65,Allograpta exotica,Allograpta exotica,22765,Allograpta exotica,FALSE
69,Allograpta exotica,Allograpta exotica,23211,Allograpta exotica,FALSE
77,Allograpta exotica,Allograpta exotica,23279,Allograpta exotica,FALSE
78,Allograpta exotica,Allograpta exotica,23252,Allograpta exotica,FALSE
81,Allograpta exotica,Allograpta exotica,19929,Allograpta exotica,FALSE
82,Allograpta exotica,Allograpta exotica,22665,Allograpta exotica,FALSE
89,Allograpta exotica,Allograpta exotica,19869,Allograpta exotica,FALSE
92,Allograpta exotica,Allograpta exotica,23012,Allograpta exotica,FALSE
95,Allograpta exotica,Allograpta exotica,20014,Allograpta exotica,FALSE
96,Allograpta exotica,Allograpta exotica,21976,Allograpta exotica,FALSE
100,Allograpta exotica,Allograpta exotica,20794,Allograpta exotica,FALSE
35,Allograpta micrura,Allograpta micrura,22053,Allograpta micrura,FALSE
8,Allograpta obliqua,Allograpta obliqua,21131,Allograpta obliqua,FALSE
9,Allograpta obliqua,Allograpta obliqua,22134,Allograpta obliqua,FALSE
13,Allograpta obliqua,Allograpta obliqua,22111,Allograpta obliqua,FALSE
14,Allograpta obliqua,Allograpta obliqua,19963,Allograpta obliqua,FALSE
15,Allograpta obliqua,Allograpta obliqua,22776,Allograpta obliqua,FALSE
23,Allograpta obliqua,Allograpta obliqua,23161,Allograpta obliqua,FALSE
29,Allograpta obliqua,Allograpta obliqua,21336,Allograpta obliqua,FALSE
31,Allograpta obliqua,Allograpta obliqua,21456,Allograpta obliqua,FALSE
33,Allograpta obliqua,Allograpta obliqua,21923,Allograpta obliqua,FALSE
54,Allograpta obliqua,Allograpta obliqua,21857,Allograpta obliqua,FALSE
55,Allograpta obliqua,Allograpta obliqua,22835,Allograpta obliqua,FALSE
56,Allograpta obliqua,Allograpta obliqua,23106,Allograpta obliqua,FALSE
61,Allograpta obliqua,Allograpta obliqua,20371,Allograpta obliqua,FALSE
63,Allograpta obliqua,Allograpta obliqua,22891,Allograpta obliqua,FALSE
77,Allograpta obliqua,Allograpta obliqua,23275,Allograpta obliqua,FALSE
78,Allograpta obliqua,Allograpta obliqua,23247,Allograpta obliqua,FALSE
89,Allograpta obliqua,Allograpta obliqua,19864,Allograpta obliqua,FALSE
94,Allograpta obliqua,Allograpta obliqua,19712,Allograpta obliqua,FALSE
35,Amsinckia intermedia,Amsinckia intermedia,22025,Amsinckia intermedia,FALSE
14,,Anasimyia lunulatus,19967,,TRUE
49,Andrena angustitarsata,Andrena angustitarsata,19784,Andrena angustitarsata,FALSE
66,Andrena angustitarsata,Andrena angustitarsata,19838,Andrena angustitarsata,FALSE
91,Andrena angustitarsata,Andrena angustitarsata,20682,Andrena angustitarsata,FALSE
2,Andrena auricoma,Andrena auricoma,20724,Andrena auricoma,FALSE
65,Andrena auricoma,Andrena auricoma,22767,Andrena auricoma,FALSE
91,Andrena auricoma,Andrena auricoma,20676,Andrena auricoma,FALSE
100,Andrena auricoma,Andrena auricoma,20800,Andrena auricoma,FALSE
2,Andrena candida,Andrena candida,20730,Andrena candida,FALSE
