network_number,mangal_taxon_name,mangal_species_name,mangal_node_id,CONSENSUS_NAME,DROP
1,Amphiprion clarkii,Amphiprion clarkii,13411,Amphiprion clarkii,FALSE
2,Amphiprion clarkii,Amphiprion clarkii,13402,Amphiprion clarkii,FALSE
3,Amphiprion clarkii,Amphiprion clarkii,13416,Amphiprion clarkii,FALSE
4,Amphiprion clarkii,Amphiprion clarkii,13430,Amphiprion clarkii,FALSE
5,Amphiprion clarkii,Amphiprion clarkii,13467,Amphiprion clarkii,FALSE
7,Amphiprion clarkii,Amphiprion clarkii,13424,Amphiprion clarkii,FALSE
8,Amphiprion clarkii,Amphiprion clarkii,13459,Amphiprion clarkii,FALSE
9,Amphiprion clarkii,Amphiprion clarkii,13499,Amphiprion clarkii,FALSE
10,Amphiprion clarkii,Amphiprion clarkii,13507,Amphiprion clarkii,FALSE
11,Amphiprion clarkii,Amphiprion clarkii,13481,Amphiprion clarkii,FALSE
12,Amphiprion clarkii,Amphiprion clarkii,13490,Amphiprion clarkii,FALSE
13,Amphiprion clarkii,Amphiprion clarkii,13452,Amphiprion clarkii,FALSE
14,Amphiprion clarkii,Amphiprion clarkii,13517,Amphiprion clarkii,FALSE
15,Amphiprion clarkii,Amphiprion clarkii,13438,Amphiprion clarkii,FALSE
16,Amphiprion clarkii,Amphiprion clarkii,13445,Amphiprion clarkii,FALSE
7,Amphiprion melanopus,Amphiprion melanopus,13422,Amphiprion melanopus,FALSE
8,Amphiprion melanopus,Amphiprion melanopus,13460,Amphiprion melanopus,FALSE
9,Amphiprion melanopus,Amphiprion melanopus,13498,Amphiprion melanopus,FALSE
1,Amphiprion ocellaris,Amphiprion ocellaris,13409,Amphiprion ocellaris,FALSE
2,Amphiprion ocellaris,Amphiprion ocellaris,13405,Amphiprion ocellaris,FALSE
4,Amphiprion ocellaris,Amphiprion ocellaris,13432,Amphiprion ocellaris,FALSE
6,Amphiprion ocellaris,Amphiprion ocellaris,13475,Amphiprion ocellaris,FALSE
9,Amphiprion ocellaris,Amphiprion ocellaris,13501,Amphiprion ocellaris,FALSE
10,Amphiprion ocellaris,Amphiprion ocellaris,13510,Amphiprion ocellaris,FALSE
15,Amphiprion ocellaris,Amphiprion ocellaris,13440,Amphiprion ocellaris,FALSE
1,Amphiprion perideraion,Amphiprion perideraion,13410,Amphiprion perideraion,FALSE
2,Amphiprion perideraion,Amphiprion perideraion,13404,Amphiprion perideraion,FALSE
4,Amphiprion perideraion,Amphiprion perideraion,13431,Amphiprion perideraion,FALSE
5,Amphiprion perideraion,Amphiprion perideraion,13468,Amphiprion perideraion,FALSE
6,Amphiprion perideraion,Amphiprion perideraion,13474,Amphiprion perideraion,FALSE
7,Amphiprion perideraion,Amphiprion perideraion,13425,Amphiprion perideraion,FALSE
8,Amphiprion perideraion,Amphiprion perideraion,13462,Amphiprion perideraion,FALSE
9,Amphiprion perideraion,Amphiprion perideraion,13500,Amphiprion perideraion,FALSE
10,Amphiprion perideraion,Amphiprion perideraion,13509,Amphiprion perideraion,FALSE
11,Amphiprion perideraion,Amphiprion perideraion,13483,Amphiprion perideraion,FALSE
