trophic_means,trophic_vars,index,fnr,numspecies
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.8638935,1.6265298,1,0.0,100.0
3.7712247,1.6632535,2,0.05,100.0
3.8561873,1.7066725,2,0.05,100.0
3.8515644,1.6080338,2,0.05,100.0
3.7887452,1.7339741,2,0.05,100.0
3.8459904,1.6569097,2,0.05,100.0
3.8749878,1.6405561,2,0.05,100.0
3.791815,1.5901577,2,0.05,100.0
3.8454258,1.65548,2,0.05,100.0
3.8472235,1.5962765,2,0.05,100.0
3.9044576,1.7154856,2,0.05,100.0
3.7293327,1.6306816,2,0.05,100.0
3.8306808,1.610715,2,0.05,100.0
3.8831422,1.6331738,2,0.05,100.0
3.7478461,1.626591,2,0.05,100.0
3.8767445,1.6803073,2,0.05,100.0
3.9816518,1.6666197,2,0.05,100.0
3.8406484,1.6222249,2,0.05,100.0
3.9100447,1.7019119,2,0.05,100.0
3.8269377,1.5967216,2,0.05,100.0
3.7908096,1.5926098,2,0.05,100.0
3.7200015,1.5768113,2,0.05,100.0
3.830318,1.616952,2,0.05,100.0
3.8109698,1.622544,2,0.05,100.0
3.9104807,1.6719517,2,0.05,100.0
3.8785841,1.6759791,2,0.05,100.0
3.949047,1.7139678,2,0.05,100.0
4.0403194,1.7178854,2,0.05,100.0
3.7166572,1.6287686,2,0.05,100.0
3.8719687,1.6873904,2,0.05,100.0
3.7864966,1.5853106,2,0.05,100.0
3.5753493,1.5691751,2,0.05,100.0
3.9387662,1.6511726,2,0.05,100.0
4.049254,1.8520732,2,0.05,100.0
3.9635086,1.6422443,2,0.05,100.0
3.8182867,1.6028928,2,0.05,100.0
3.6849716,1.5899895,2,0.05,100.0
3.8672228,1.6466078,2,0.05,100.0
3.8921733,1.6578298,2,0.05,100.0
3.9685392,1.707353,2,0.05,100.0
3.7917273,1.6857243,2,0.05,100.0
3.8507967,1.6846174,2,0.05,100.0
3.7523859,1.669721,2,0.05,100.0
3.8562295,1.608946,2,0.05,100.0
3.8604267,1.7412484,2,0.05,100.0
3.777379,1.5965705,2,0.05,100.0
3.9002202,1.680534,2,0.05,100.0
3.7935498,1.60673,2,0.05,100.0
3.8032916,1.6367407,2,0.05,100.0
3.772268,1.6019377,2,0.05,100.0
3.827658,1.5928767,2,0.05,100.0
3.7191415,1.5694551,3,0.1,100.0
3.9802928,1.6950349,3,0.1,100.0
3.8888547,1.7458596,3,0.1,100.0
3.6705074,1.6410064,3,0.1,100.0
3.7139752,1.5941054,3,0.1,100.0
3.7904954,1.5913392,3,0.1,100.0
3.682715,1.5670441,3,0.1,100.0
3.6577404,1.6673596,3,0.1,100.0
3.9415884,1.7490253,3,0.1,100.0
3.8886366,1.6837043,3,0.1,100.0
3.876771,1.7730758,3,0.1,100.0
3.8460016,1.6793143,3,0.1,100.0
3.6570222,1.637025,3,0.1,100.0
3.8058631,1.6113855,3,0.1,100.0
3.9306352,1.7690117,3,0.1,100.0
3.6078467,1.626194,3,0.1,100.0
3.6818402,1.679958,3,0.1,100.0
3.8984675,1.7873533,3,0.1,100.0
3.7751467,1.6311998,3,0.1,100.0
3.7334452,1.7399194,3,0.1,100.0
3.8943527,1.6332422,3,0.1,100.0
3.8434546,1.680278,3,0.1,100.0
3.710484,1.6857185,3,0.1,100.0
3.9210877,1.7824646,3,0.1,100.0
3.9407306,1.7248878,3,0.1,100.0
3.9594533,1.8275777,3,0.1,100.0
3.8096614,1.5823132,3,0.1,100.0
3.787528,1.5833038,3,0.1,100.0
3.7850518,1.6157639,3,0.1,100.0
3.8052397,1.694662,3,0.1,100.0
3.775991,1.600679,3,0.1,100.0
3.7065516,1.5800182,3,0.1,100.0
3.7917914,1.6233045,3,0.1,100.0
3.782214,1.5957495,3,0.1,100.0
3.7533994,1.7506905,3,0.1,100.0
3.836701,1.6885436,3,0.1,100.0
3.949659,1.8080716,3,0.1,100.0
3.8106081,1.678756,3,0.1,100.0
3.7370949,1.5463363,3,0.1,100.0
4.152893,1.826976,3,0.1,100.0
3.6530025,1.5272547,3,0.1,100.0
3.9972336,1.7484266,3,0.1,100.0
3.6787071,1.693362,3,0.1,100.0
3.6868312,1.6383967,3,0.1,100.0
3.9281082,1.7607874,3,0.1,100.0
3.8171687,1.7147115,3,0.1,100.0
3.7929876,1.6677493,3,0.1,100.0
3.7217414,1.536577,3,0.1,100.0
3.8152297,1.5982631,3,0.1,100.0
3.7824233,1.583837,3,0.1,100.0
3.8120995,1.898908,4,0.15,100.0
3.7440312,1.6659681,4,0.15,100.0
3.600539,1.506768,4,0.15,100.0
3.7829442,1.6559274,4,0.15,100.0
3.6012695,1.5563679,4,0.15,100.0
3.682393,1.5746026,4,0.15,100.0
3.784632,1.6376445,4,0.15,100.0
3.4816153,1.6031849,4,0.15,100.0
3.9451334,1.7981848,4,0.15,100.0
3.8775635,1.6682211,4,0.15,100.0
3.9109647,1.7660135,4,0.15,100.0
3.929961,1.7309943,4,0.15,100.0
3.9725707,1.8108577,4,0.15,100.0
3.9931276,1.7207146,4,0.15,100.0
3.7050667,1.6050798,4,0.15,100.0
3.712246,1.6852331,4,0.15,100.0
4.030846,1.7086409,4,0.15,100.0
3.816773,1.633397,4,0.15,100.0
3.4846942,1.5668557,4,0.15,100.0
3.7903762,1.6617783,4,0.15,100.0
4.011232,1.7453184,4,0.15,100.0
3.9004645,1.7525221,4,0.15,100.0
4.162288,1.8286904,4,0.15,100.0
4.064794,1.872617,4,0.15,100.0
3.818114,1.7011074,4,0.15,100.0
3.6921346,1.7055228,4,0.15,100.0
3.559982,1.6157416,4,0.15,100.0
3.580869,1.5694902,4,0.15,100.0
3.7312632,1.6623862,4,0.15,100.0
3.7802248,1.7599034,4,0.15,100.0
3.711436,1.5947527,4,0.15,100.0
3.9786696,1.8230748,4,0.15,100.0
3.6961296,1.4988018,4,0.15,100.0
3.6161993,1.5462521,4,0.15,100.0
3.771068,1.6060383,4,0.15,100.0
4.0187135,1.7590888,4,0.15,100.0
3.6541188,1.6748897,4,0.15,100.0
3.5975006,1.6760774,4,0.15,100.0
3.6779082,1.5934689,4,0.15,100.0
3.3129387,1.5390408,4,0.15,100.0
3.6763582,1.6873231,4,0.15,100.0
3.560725,1.576123,4,0.15,100.0
3.7917056,1.6410714,4,0.15,100.0
3.5939105,1.6247987,4,0.15,100.0
3.673139,1.7654668,4,0.15,100.0
3.800176,1.660213,4,0.15,100.0
3.671367,1.8016728,4,0.15,100.0
3.8841805,1.7730424,4,0.15,100.0
